0100000007	Genèse
18071d00ac	Coupe ta chevelure, et jette-la au loin; Monte sur les hauteurs, et prononce une complainte! Car l’Éternel rejette Et repousse la génération qui a provoqué sa fureur.
18071e00b7	Car les enfants de Juda ont fait ce qui est mal à mes yeux, Dit l’Éternel; Ils ont placé leurs abominations Dans la maison sur laquelle mon nom est invoqué, Afin de la souiller.
18071f00ca	Ils ont bâti des hauts lieux à Topheth dans la vallée de Ben-Hinnom, Pour brûler au feu leurs fils et leurs filles: Ce que je n’avais point ordonné, Ce qui ne m’était point venu à la pensée.
18072000e5	C’est pourquoi voici, les jours viennent, dit l’Éternel, Où l’on ne dira plus Topheth et la vallée de Ben-Hinnom, Mais où l’on dira la vallée du carnage; Et l’on enterrera les morts à Topheth par défaut de place.
1807210087	Les cadavres de ce peuple seront la pâture Des oiseaux du ciel et des bêtes de la terre; Et il n’y aura personne pour les troubler.
18072200ce	Je ferai cesser dans les villes de Juda et dans les rues de Jérusalem Les cris de réjouissance et les cris d’allégresse, Les chants du fiancé et les chants de la fiancée; Car le pays sera un désert.
18080100c7	En ce temps-là, dit l’Éternel, on tirera de leurs sépulcres les os des rois de Juda, les os de ses chefs, les os des sacrificateurs, les os des prophètes, et les os des habitants de Jérusalem.
1808020140	On les étendra devant le soleil, devant la lune, et devant toute l’armée des cieux, qu’ils ont aimés, qu’ils ont servis, qu’ils ont suivis, qu’ils ont recherchés, et devant lesquels ils se sont prosternés; on ne les recueillera point, on ne les enterrera point, et ils seront comme du fumier sur la terre.
18080300a6	La mort sera préférable à la vie pour tous ceux qui resteront de cette race méchante, dans tous les lieux où je les aurai chassés, dit l’Éternel des armées.
180804006f	Dis-leur: Ainsi parle l’Éternel: Est-ce que l’on tombe sans se relever? Ou se détourne-t-on sans revenir?
1808050096	Pourquoi donc ce peuple de Jérusalem s’abandonne-t-il A de perpétuels égarements? Ils persistent dans la tromperie, Ils refusent de se convertir.
18080600d4	Je suis attentif, et j’écoute: Ils ne parlent pas comme ils devraient; Aucun ne se repent de sa méchanceté, Et ne dit: Qu’ai-je fait? Tous reprennent leur course, Comme un cheval qui s’élance au combat.
18080700ba	Même la cigogne connaît dans les cieux sa saison; La tourterelle, l’hirondelle et la grue Observent le temps de leur arrivée; Mais mon peuple ne connaît pas la loi de l’Éternel.
18080800a8	Comment pouvez-vous dire: Nous sommes sages, La loi de l’Éternel est avec nous? C’est bien en vain que s’est mise à l’œuvre La plume mensongère des scribes.
180809008d	Les sages sont confondus, Ils sont consternés, ils sont pris; Voici, ils ont méprisé la parole de l’Éternel, Et quelle sagesse ont-ils?
18080a00fa	C’est pourquoi je donnerai leurs femmes à d’autres, Et leurs champs à ceux qui les déposséderont. Car depuis le plus petit jusqu’au plus grand, Tous sont avides de gain; Depuis le prophète jusqu’au sacrificateur, Tous usent de tromperie.
18080b0073	Ils pansent à la légère la plaie de la fille de mon peuple: Paix! Paix! Disent-ils. Et il n’y a point de paix.
18080c00e6	Ils seront confus, car ils commettent des abominations; Ils ne rougissent pas, ils ne connaissent pas la honte; C’est pourquoi ils tomberont avec ceux qui tombent, Ils seront renversés quand je les châtierai, Dit l’Éternel.
18080d00bf	Je veux en finir avec eux, dit l’Éternel; Il n’y aura plus de raisins à la vigne, Plus de figues au figuier, Et les feuilles se flétriront; Ce que je leur avais donné leur échappera.
18080e00f2	Pourquoi restons-nous assis? Rassemblez-vous, et allons dans les villes fortes, Pour y périr! Car l’Éternel, notre Dieu, nous destine à la mort, Il nous fait boire des eaux empoisonnées, Parce que nous avons péché contre l’Éternel.
18080f0067	Nous espérions la paix, et il n’arrive rien d’heureux; Un temps de guérison, et voici la terreur!
18081000d9	Le hennissement de ses chevaux se fait entendre du côté de Dan, Et au bruit de leur hennissement toute la terre tremble; Ils viennent, ils dévorent le pays et ce qu’il renferme, La ville et ceux qui l’habitent.
180811008d	Car j’envoie parmi vous des serpents, des basilics, Contre lesquels il n’y a point d’enchantement; Ils vous mordront, dit l’Éternel.
1808120044	Je voudrais soulager ma douleur; Mon cœur souffre au-dedans de moi.
18081300f7	Voici les cris de la fille de mon peuple Retentissent sur la terre lointaine: L’Éternel n’est-il plus à Sion? N’a-t-elle plus son roi au milieu d’elle? Pourquoi m’ont-ils irrité par leurs images taillées, Par des idoles étrangères?
180814004a	La moisson est passée, l’été est fini, Et nous ne sommes pas sauvés!
180815006d	Je suis brisé par la douleur de la fille de mon peuple, Je suis dans la tristesse, l’épouvante me saisit.
1808160095	N’y a-t-il point de baume en Galaad? N’y a-t-il point de médecin? Pourquoi donc la guérison de la fille de mon peuple ne s’opère-t-elle pas?
1809010092	Oh! si ma tête était remplie d’eau, Si mes yeux étaient une source de larmes, Je pleurerais jour et nuit Les morts de la fille de mon peuple!
18090200ab	Oh! Si j’avais au désert une cabane de voyageurs, J’abandonnerais mon peuple, je m’en éloignerais! Car ce sont tous des adultères, C’est une troupe de perfides.
18090300e0	Ils ont la langue tendue comme un arc et lancent le mensonge; Ce n’est pas par la vérité qu’ils sont puissants dans le pays; Car ils vont de méchanceté en méchanceté, Et ils ne me connaissent pas, dit l’Éternel.
18090400a2	Que chacun se tienne en garde contre son ami, Et qu’on ne se fie à aucun de ses frères; Car tout frère cherche à tromper, Et tout ami répand des calomnies.
1809050088	Ils se jouent les uns des autres, Et ne disent point la vérité; Ils exercent leur langue à mentir, Ils s’étudient à faire le mal.
1809060073	Ta demeure est au sein de la fausseté; C’est par fausseté qu’ils refusent de me connaître, Dit l’Éternel.
180907009b	C’est pourquoi ainsi parle l’Éternel des armées: Voici je les sonderai, je les éprouverai. Car comment agir à l’égard de la fille de mon peuple?
18090800a9	Leur langue est un trait meurtrier, Ils ne disent que des mensonges; De la bouche ils parlent de paix à leur prochain, Et au fond du cœur ils lui dressent des pièges.
1809090070	Ne les châtierais-je pas pour ces choses-là, dit l’Éternel, Ne me vengerais-je pas d’une pareille nation?
18090a0101	Sur les montagnes je veux pleurer et gémir, Sur les plaines du désert je prononce une complainte; Car elles sont brûlées, personne n’y passe, On n’y entend plus la voix des troupeaux; Les oiseaux du ciel et les bêtes ont pris la fuite, ont disparu.
18090b0084	Je ferai de Jérusalem un monceau de ruines, un repaire de chacals, Et je réduirai les villes de Juda en un désert sans habitants.
18090c00c4	Où est l’homme sage qui comprenne ces choses? Qu’il le dise, celui à qui la bouche de l’Éternel a parlé! Pourquoi le pays est-il détruit, Brûlé comme un désert où personne ne passe?
18090d00b2	L’Éternel dit: C’est parce qu’ils ont abandonné ma loi, Que j’avais mise devant eux; Parce qu’ils n’ont point écouté ma voix, Et qu’ils ne l’ont point suivie;
18090e0086	Parce qu’ils ont suivi les penchants de leur cœur, Et qu’ils sont allés après les Baals, Comme leurs pères le leur ont appris.
18090f00a8	C’est pourquoi ainsi parle l’Éternel des armées, le Dieu d’Israël: Voici, je vais nourrir ce peuple d’absinthe, Et je lui ferai boire des eaux empoisonnées.
18091000a4	Je les disperserai parmi des nations Que n’ont connues ni eux ni leurs pères, Et j’enverrai derrière eux l’épée, Jusqu’à ce que je les aie exterminés.
1809110098	Ainsi parle l’Éternel des armées: Cherchez, appelez les pleureuses, et qu’elles viennent! Envoyez vers les femmes habiles, et qu’elles viennent!
1809120082	Qu’elles se hâtent de dire sur nous une complainte! Et que les larmes tombent de nos yeux, Que l’eau coule de nos paupières!
18091300af	Car des cris lamentables se font entendre de Sion: Eh quoi! Nous sommes détruits! Nous sommes couverts de honte! Il nous faut abandonner le pays! On a renversé nos demeures!
18091400bf	Femmes, écoutez la parole de l’Éternel, Et que votre oreille saisisse ce que dit sa bouche! Apprenez à vos filles des chants lugubres, Enseignez-vous des complaintes les unes aux autres!
1809150095	Car la mort est montée par nos fenêtres, Elle a pénétré dans nos palais; Elle extermine les enfants dans la rue, Les jeunes gens sur les places.
18091600a8	Dis: Ainsi parle l’Éternel: Les cadavres des hommes tomberont Comme du fumier sur les champs, Comme tombe derrière le moissonneur une gerbe Que personne ne ramasse.
18091700a3	Ainsi parle l’Éternel: Que le sage ne se glorifie pas de sa sagesse, Que le fort ne se glorifie pas de sa force, Que le riche ne se glorifie pas de sa richesse.
18091800ff	Mais que celui qui veut se glorifier se glorifie D’avoir de l’intelligence et de me connaître, De savoir que je suis l’Éternel, Qui exerce la bonté, le droit et la justice sur la terre; Car c’est à cela que je prends plaisir, dit l’Éternel.
180919006e	Voici, les jours viennent, dit l’Éternel, Où je châtierai tous les circoncis qui ne le sont pas de cœur,
18091a00ea	L’Égypte, Juda, Édom, les enfants d’Ammon, Moab, Tous ceux qui se rasent les coins de la barbe, Ceux qui habitent dans le désert; Car toutes les nations sont incirconcises, Et toute la maison d’Israël a le cœur incirconcis.
180a010045	Écoutez la parole que l’Éternel vous adresse, Maison d’Israël!
180a020089	Ainsi parle l’Éternel: N’imitez pas la voie des nations, Et ne craignez pas les signes du ciel, Parce que les nations les craignent.
180a030085	Car les coutumes des peuples ne sont que vanité. On coupe le bois dans la forêt; La main de l’ouvrier le travaille avec la hache;
180a040077	On l’embellit avec de l’argent et de l’or, On le fixe avec des clous et des marteaux, Pour qu’il ne branle pas.
180a0500d7	Ces dieux sont comme une colonne massive, et ils ne parlent point; On les porte, parce qu’ils ne peuvent marcher. Ne les craignez pas, car ils ne sauraient faire aucun mal, Et ils sont incapables de faire du bien.
180a06005e	Nul n’est semblable à toi, ô Éternel! Tu es grand, et ton nom est grand par ta puissance.
180a0700ae	Qui ne te craindrait, roi des nations? C’est à toi que la crainte est due; Car, parmi tous les sages des nations et dans tous leurs royaumes, Nul n’est semblable à toi.
180a080061	Tous ensemble, ils sont stupides et insensés; Leur science n’est que vanité, c’est du bois!
180a0900f9	On apporte de Tarsis des lames d’argent, et d’Uphaz de l’or, L’ouvrier et la main de l’orfèvre les mettent en œuvre; Les vêtements de ces dieux sont d’étoffes teintes en bleu et en pourpre, Tous sont l’ouvrage d’habiles artisans.
180a0a00a1	Mais l’Éternel est Dieu en vérité, Il est un Dieu vivant et un roi éternel; La terre tremble devant sa colère, Et les nations ne supportent pas sa fureur.
180a0b0084	Vous leur parlerez ainsi: Les dieux qui n’ont point fait les cieux et la terre Disparaîtront de la terre et de dessous les cieux.
180a0c0078	Il a créé la terre par sa puissance, Il a fondé le monde par sa sagesse, Il a étendu les cieux par son intelligence.
180a0d00ab	A sa voix, les eaux mugissent dans les cieux; Il fait monter les nuages des extrémités de la terre, Il produit les éclairs et la pluie, Il tire le vent de ses trésors.
180a0e00a6	Tout homme devient stupide par sa science, Tout orfèvre est honteux de son image taillée; Car ses idoles ne sont que mensonge, Il n’y a point en elles de souffle,
180a0f0066	Elles sont une chose de néant, une œuvre de tromperie; Elles périront, quand viendra le châtiment.
180a1000aa	Celui qui est la part de Jacob n’est pas comme elles; Car c’est lui qui a tout formé, Et Israël est la tribu de son héritage. L’Éternel des armées est son nom.
180a11004b	Emporte du pays ce qui t’appartient, Toi qui es assise dans la détresse!
180a120095	Car ainsi parle l’Éternel: Voici, cette fois je vais lancer au loin les habitants du pays; Je vais les serrer de près, afin qu’on les atteigne.
180a130080	Malheur à moi! Je suis brisée! Ma plaie est douloureuse! Mais je dis: C’est une calamité qui m’arrive, Je la supporterai!
180a1400b1	Ma tente est détruite, Tous mes cordages sont rompus; Mes fils m’ont quittée, ils ne sont plus; Je n’ai personne qui dresse de nouveau ma tente, Qui relève mes pavillons.
180a1500a6	Les bergers ont été stupides, Ils n’ont pas cherché l’Éternel; C’est pour cela qu’ils n’ont point prospéré, Et que tous leurs troupeaux se dispersent.
180a1600a0	Voici, une rumeur se fait entendre; C’est un grand tumulte qui vient du septentrion, Pour réduire les villes de Juda en un désert, En un repaire de chacals.
180a17008a	Je le sais, ô Éternel! La voie de l’homme n’est pas en son pouvoir; Ce n’est pas à l’homme, quand il marche, A diriger ses pas.
180a180069	Châtie-moi, ô Éternel! Mais avec équité, Et non dans ta colère, de peur que tu ne m’anéantisses.
180a1900c5	Répands ta fureur sur les nations qui ne te connaissent pas, Et sur les peuples qui n’invoquent pas ton nom! Car ils dévorent Jacob, ils le dévorent, ils le consument, Ils ravagent sa demeure.
