0100000009	Kutendeka
0f0a100114	Inzi balia baabwelele kufuma mu buzia baakitile mukyaalandiilue, kitambua Ezra waasaakwile bakulu ba mikowa, kukonkana ni mpendua ya mikowa yabo, ni kubatantika kukonkana ni meena abo, baba bantu baikeele mu busiku bwa mambo bwa mwezi wa lyanondo kuti bakebelezie ozu mulandu.
0f0a110063	Ni mu busiku bwa mambo bwa mwezi wa mambo, baapwile milandu ya balia bonse baupile banakazi Bazima.
0f0a12009c	Bantu baupile banakazi Bazima: Ba mu luvyalo lwakua Yoshua mwina Yozadaki ni ba mu luvyalo lwa ba kwakue mwaali: Maseia, ni Eliezeri, ni Yaribu, ni Gedalia.
0f0a13008d	Baba bantu baalaile nangue bakaba kukaana bakazi babo, kabili pantu baali ni kibalo, baeleele mpanga ya pa kisepe pa mulandu wa kibalo kyabo.
0f0a140032	Mu luvyalo lwakua Imeri, mwaali Hanani ni Zebadia.
0f0a150051	Mu luvyalo lwakua Harimu, mwaali Maseia, ni Elia, ni Semaia, ni Yehieli, ni Uzia.
0f0a160067	Mu luvyalo lwakua Pashuri, mwaali Elioenai, ni Maseia, ni Isimaeli, ni Netaneli, ni Yozabadi, ni Elasa.
0f0a170053	Yozabadi, ni Simei, ni Kelaia aliwakuutua Kelita, ni Petahia, ni Yuda, ni Eliezeri.
0f0a180029	Eliasibu. Salumu, ni Telemu, pamo ni Uri.
0f0a190071	Ba mu luvyalo lwakua Parosi mwaali: Ramia, ni Izia, ni Malkia, ni Miaminu, ni Eleazari, ni Malkia pamo ni Benaya.
0f0a1a0060	Mu luvyalo lwakua Elamu, mwaali Matania, ni Zakaria, ni Yehieli, ni Abudi, ni Yeremoti, ni Elia.
0f0a1b0063	Mu luvyalo lwakua Zatu, mwaali Elioenai, ni Eliasibu, ni Matania, ni Yeremoti, ni Zabadi, ni Aziza.
0f0a1c004a	Mu luvyalo lwakua Bebai, mwaali Yohanani, ni Hanania, ni Zabai, ni Atilai.
0f0a1d005f	Mu luvyalo lwakua Bani, mwaali Mesulamu, ni Maluku, ni Adaia, ni Yasubu, ni Seali, ni Yeremoti.
0f0a1e0082	Mu luvyalo lwakua Pahati-Moabu, mwaali Adina, ni Kelali, ni Benaya, ni Maaseia, ni Matania, ni Besaleli, ni Binui, pamo ni Manase.
0f0a1f005a	Mu luvyalo lwakua Harimu, mwaali Eliezeri, ni Isia, ni Malkia, ni Semaia, pamo ni Simeoni,
0f0a200024	ni Benyamina, ni Maluku, ni Semaria.
0f0a210073	Mu luvyalo lwakua Hasumu, mwaali Matenai, ni Matata, ni Zabadi, ni Elifeleti, ni Yeremai, ni Manase, pamo ni Simei.
0f0a220039	Mu luvyalo lwakua Bani, mwaali Madai, ni Amramu, ni Ueli,
0f0a23001f	ni Benaya, ni Bedia, ni Keluhi,
0f0a240023	ni Wania, ni Meremoti, ni Eliasibu,
0f0a250025	ni Matania, ni Matenai, pamo ni Yasu.
0f0a260025	Mu luvyalo lwakua Binui mwaali Simei,
0f0a270020	ni Selemia, ni Natana, ni Adaia,
0f0a280023	ni Makinadebai, ni Sasai, ni Sarai,
0f0a290024	ni Azaraeli, ni Selenia, ni Semaria,
0f0a2a0020	ni Salumu, ni Amaria, ni Yusufu.
0f0a2b0066	Mu luvyalo lwakua Nebo mwaali Yeieli, ni Matitia, ni Zabadi, ni Zebina, ni Yadai, ni Yoeli, ni Benaya.
0f0a2c009a	Baba bonse i baupile banakazi Bazima, ni bange pakati kabo baali ni banakazi baali basyabavyaliile ni baana. Babo banakazi baakumbilue pamo ni baana babo.
1000000007	Nehemia
1001010091	Totu i twebo twakua Nehemia mwina Hakalia. Lunaali mu Susani muzi ukata wa kyalo, mu mwezi wa Kisileu mu mwaka wa 20 mu kuteeka kwakua Artasasta,
10010200b3	Hanani, umo wa mu balupua bane waizile pamo ni bange balalume kufuma ku kyalo kya Yudea. Naabeepuziizie palua Bayuda baasyele pasili kutwalua mu buzia, ni mpunda palua Yeruzalemu.
10010300da	Bangasukile nangue, pa balia baabwelele kufuma mu buzia, balia bekeele mu kiputu kya kyalo, bali mu lyemo likata ni kufuupulua sana. Kibumba kya Yeruzalemu ni kyo kyaatuutilue, ni milyango yakue yaaziziiziwe na mulilo.
1001040089	Lunaunvwile evio, naikeele ni kutendeka kulila. Naakitile nsiku ingi nalimukulosia ni kuizilika bilio pamo ni kupepa kuli Leza wa mwiulu.
100105009f	Naalandile nangue, “We Mulopue Leza wa mwiulu, Leza Mukulu aliwatiinia, we aliwafikilizia kipingo kyobe kya ntono ku balia bakutonene ni kunakila milao yobe,
10010600d9	twilizia mapepo ane ne mubombi obe lundinapepa busiku ni koba pa mulandu wa babombi bobe Baizraeli, nalapila bibalo byetu fwe Baizraeli, bibalo binaakubalile nene ni byaakubalile bantu ba mu nghanda ya babikolue bane.
1001070071	Twaakitile bilubo bingi, kabili tetwaanakiile milao ni nsokezi pamo ni mizilo nga muwaamwaniine mubombi obe Musa.
1001080079	Nakupaapaata wizukile keebo kawaamwanine mubombi obe Musa nangue, ‘Kine mwaluvia, naakamisalanghaniizia ku ntundu inge.
10010900d3	Inzi kine mwabwela kuli nene ni kunakila milao yane ni kwikita, anzia kine bantu benu bali mu buzia kule kupeleele kyalo, naakabaleeta ni kubakolonghania pa nkendo inaasaakwile kuti ngie nalanga kubapo kwane.’
10010a0069	“Baba i babombi bobe, kabili i bantu bobe bawaapususiizie na buvinde bobe bukata na maka a kuboko kobe.
10010b0104	We Mulopue, nakupaapaata utwilizie mapepo ane ne mubombi obe, ni mapepo a babombi bobe bawamiinue kukindika liina lyobe, kabili nakulomba un'mpaale bono busiku, ni kumulengia ozu muntu anghunvwileko nkumbu.” Pa ozo musita naali kateaniawa divai yakua likolo.
10020100d8	Mu mwezi wa Nisani, mu mwaka wa 20 mu kuteeka kwakua likolo Artasasta lu-aaleeteelue divai, naipokeleele ni kumutwalila likolo. Pa ozo musita naali nsinamonekepo wa bulanda ku menso akue, inga sie bobo bwenka busiku.
100202008b	Likolo wangipuziizie, “Wewe teulwele, ale kiubeeleele ni bulanda ni kiki? Uli nga we ali ni bwavia mu mutima.” Ni nene naatiinine sana.
10020300b4	Na-asukile, “We likolo, ba wali ni bukose muyayaya. Ale ndikuwaminua syani koku muzi wane waaziikiluemo babikolue bane wasyele kibolia ni milyango yonse yaziziiziwe na mulilo?”
100204004b	Likolo wangipuziizie, “Ukebeleki?” Ni ne naapepele kuli Leza wa mwiulu.
10020500d8	I lunaamwasukile likolo nangue, “Kine kuti kyamuwamina likolo, kabili kine ne mubombi obe naitabilua ku menso obe, kuti kyawama untume ku Yudea mu muzi uziikiluemo babikolue bane kuti nkabe kuya kukuula paakale.”
10020600d6	Likolo wangipuziizie ni nabeeza waikeele pepi nakue nangue, “Lwendo lobe lwaakaba lwa nsiku inga? Kabili waakabwela musitaki?” Evi kyamuwaamiine likolo kuti an'mpeele nsambu ya kuya, ni nene i pakumwana musita.
10020700c1	Kabili naamwanine likolo nangue kine kuti kyamuwamina, an'mpeele mpapulo ya kutwala ku ndabukizi ya mu biputu bya kyalo bya ku bwala mwenzi evi bakangitabizie kupita mpaka kuya kufika mu Yudea,
100208012e	kabili nalomba n'mpeelue lupapulo lwa kutwala kuli Asafu aliwasunga musitu wakua likolo, evi nkapeelue mbao ya kukita milyango ya byubo bya Nghanda yakua Leza, ni milyango ya mu kibumba kya muzi, ni ya mu nghanda mu naakaba naikala. Ni likolo wan'mpeele mwaali mwabeeleele buwame bwakua Leza pali nene.
10020900de	Kupwako, naya kufika ku ndabukizi ya mu biputu bya kyalo bya ku bwala mwenzi wa Efrati, nabapeela mpapulo yaafumine kuli likolo. Ni likolo wantumine pamo ni bakulu ba balukale, ni baseli ba pa bafarasi kuti ngie pamo nabo.
10020a008c	Sanibalati Muhori, ni kiloolo Tobia Muamoni lubaunvwile ezi mpunda, baafiitilue sana pa mulandu wa muntu waizile kukebela Baizraeli mutende.
10020b004d	Lunaafikile ku Yeruzalemu, naikeeleko nsiku itatu, pa kyamba kya nsiku itatu,
10020c00c8	naabuukile busiku, pamo ni bange bantu, kabili nsyaabwilileko muntu keebo kana-aninue na Leza wane kakuti nkabe kukita ku Yeruzalemu, kabili nsyaile na tunge tunama, inga sie kalia kanaali naselelepo.
10020d00df	Naafumiine ku mulyango wa lulambe busikunke, lya ku lubali lwa kiina kya menda kya nghina nzoka, ni ku mulyango wa kizyalala, ni kumona kibumba kya Yeruzalemu vikyaali kyatuutilue, ni milyango viyaali yaziziiziwe na mulilo.
10020e0082	Kabili naile mpaka ku mulyango wa kasulo, ni ku kiziba kyakua likolo, inzi tekwaali nkendo ya kupitapo ni punda unaali naselelepo.
10020f0090	Kupwako, nasela busikunke mu lulambe nalimukukazia kibumba kya muzi. Pa kyamba naabwelele ni kuya kwingila pa mulyango wa lulambe unaafumiinepo.
10021000b7	Babiloolo tebaamanine kunaali naile, kabili tebaamanine kinaali nakita. Bayuda, ni babitambua, ni bamasiiko, ni babiloolo, pamo ni balia bonse baali babomba ezi miilo, nsyaababwilile.
10021100c3	Kupwako, nabaana nangue, “Mone maavia atuli nao, Yeruzalemu wasyala kibolia, ni milyango iziziiziwe na mulilo! Ize tukuule paakale kibumba kya Yeruzalemu, evi tekuti tuye twafuupulua kabili.”
10021200b2	Naabalondolweleele buwame bwakua Leza vibwaali bwali pali nene, ni vina-aninue kuli likolo. Baalandile nangue, “Ale twende tukuule paakale.” Kupwako, babamba ozu mwilo uweme.
10021300db	Inzi Sanibalati Muhori, ni kiloolo Tobia Muamoni, pamo ni Gesemi Muarabu lubaunvwile ezi mpunda, baatusekele sana ni kutupunika balanda nangue, “Ni kiki keki kimulimukukeba kukita? Mulimwakeba kumusangukila likolo?”
10021400be	Naabaasukile, “Leza wa mwiulu waakatupaala. Ni pakako, fwe babombi bakue twakaba kubamba kukuula paakale, inzi mwemue temuli na nsempu, ao nsambu, kabili temukalangulukua mu Yeruzalemu.”
10030100dc	Eliasibu Kitambua Mukulu, waabuukile ni kuya pamo ni lupua lwakue lwa babitambua ku kukuula mulyango wa mikooko. Bauzuukiizie ni kubiikamo milyango yakue kubambila ku lupungu lwa katua kamo mpaka ku lupungu lwa Hananeli.
10030200ae	Kufuma papo paapeziizie Eliasibu, bantu ba ku Yeriko i baatwaliliile kukuula paakale. Zakuri mwina Imuri ni ye i waatwaliliile kukuula paakale paapeziizie bantu ba ku Yeriko.
1003030080	Baana balalume bena Hasena i baakuulile paakale mulyango wa lisabi. Baabiikile miilimiili, ni milyango, ni byela, ni minkolonto.
1003040111	Meremoti mwina Uria, Uria mwina Hakosi, i waakuulile paakale kiputu kya kibumba kyaakonkelepo. Mesulamu mwina Berekia, Berekia mwina Mesezabeli, i waakuulile paakale kiputu kya kibumba kyaakonkelepo. Sadoki mwina Bana, i waakuulile paakale kiputu kya kibumba kyaakonkelepo.
1003050086	Bantu ba ku Tekoa i baakuulile paakale kiputu kya kibumba kyaakonkelepo. Inzi bakulu babo tebaakwasiizieko miilo ya bemanizi ba miilo.
100306008f	Yoyada mwina Pasea ni Mesulamu mwina Besodia, i baawamiizie mulyango wa kale, baabiikilemo miilimiili ni milyango, ni byela pamo ni minkolonto.
10030700c5	Melatia Mugibeoni, Yadoni Mumerono, ni bantu ba ku Gibeoni, ni ba ku Misipa, bantu ba mu buteeko bwakua ndabukizi wa kubwala mwenzi wa Efrati, i baakuulile paakale kiputu kya kibumba kyaakonkelepo.
1003080119	Usieli mwina Harihaia, umo wa pa babombi baali basungulula oro, i waakuulile paakale kiputu kya kibumba kyaakonkelepo. Hanania umo wa pa babombi ba kukita manukato, i waakuulile paakale kiputu kya kibumba kyaakonkelepo. Baakuulile Yeruzalemu yalumine mpaka pa kelia kibumba kikata.
1003090076	Refaia mwina Huri, kateeka wa kitika kya kiputu kya Yeruzalemu, i waakuulile paakale kiputu kya kibumba kyaakonkelepo.
10030a00b8	Yedaia mwina Harumafi, i waakuulile paakale kiputu kya kibumba kyaakonkelepo kyakenteene ni nghanda yakue. Hatusi mwina Hasabunia i waakuulile paakale kiputu kya kibumba kyaakonkelepo.
10030b007f	Malkia mwina Harimu, ni Hasubu mwina Pahati-Moabu, i baakuulile paakale kiputu kya kibumba kyaakonkelepo ni lupungu lwa kikuka.
10030c00a5	Salumu mwina Halohesi, kateeka wa kitika kya kiputu kya Yeruzalemu, pamo ni baana bakue bakazyana, i baamukwasiizie kukuula paakale kiputu kya kibumba kyaakonkelepo.
10030d00da	Hanuni, pamo ni bekazi ba mu Zanoa, i baakuulile paakale mulyango wa lulambe. Baukuulile ni kubiikamo mulyango, ni byela pamo ni minkolonto, ni kulundako metre 450 mu kuleepa kwa kibumba mpaka pa mulyango wa kizyalala.
10030e0096	Malkia mwina Rekabu, kateeka wa Beti-Karemu, i waakuulile paakale kiputu kya kibumba kyaakonkelepo ni kubiikamo milyango, ni byela pamo ni minkolonto.
10030f0135	Salumu mwina Kolihoze, kateeka wa ku Misipa, i waawamiizie mulyango wa kasulo, i waukuulile paakale ni kubiikapo mutenge, wabiikamo milyango, ni byela pamo ni minkolonto ni kukuula paakale kibumba kya kiziba kya Siloamu, pepi ni bukaba bwakua likolo, mpaka mu biselelo tukookele twafumine ku muzi wakua Daudi.
1003100108	Nehemia, mwina Azibuku kateeka wa kitika kya kiputu kya ku Beti-Suri, i waakuulile paakale kiputu kya kibumba kyaakonkelepo mpaka ku nghanda ikata ikenteene ni kilibu kyakua Daudi, mpaka ku kiziba kya menda kyaimbilue na bantu, kabili mpaka ku nghanda ya babipami.
10031100d7	Balawi baali balombwelue na Rehumu mwina Bani, i baakuulile paakale kiputu kya kibumba kyaakonkelepo. Hasabia, kateeka wa kitika kya kiputu kya kyalo kya Keila, i waakuulile paakale kiputu kya kibumba kyaakonkelepo.
100312007e	Binui mwina Henadadi, kateeka wa kitika kya kiputu kya kyalo kya Keila, i waakuulile paakale kiputu kya kibumba kyaakonkelepo.
10031300d4	Ezeri mwina Yeshua, kateeka wa ku Misipa, i waakuulile paakale kiputu kya kibumba kyaakonkelepo, kabili i waakuulile paakale ni ku nkendo inge kine uliwasela waya lya ku nghanda ya bilwilo, pa lipeto lya kibumba.
10031400bb	Baruku mwina Zabai, i waakuulile paakale kiputu kya kibumba kyaakonkelepo pamo ni mu nkendo inge kutula pa lipeto lya kibumba, mpaka pa mulyango wa nghanda yakua Eliasibu Kitambua Mukulu.
10031500e2	Meremoti mwina Uria, Uria mwina Hakosi, i waakuulile paakale kiputu kya kibumba kyaakonkelepo, kabili waakuulile paakale ni mu nkendo inge, kutendekela pa mulyango wa nghanda yakua Eliasibu, mpaka pa mpeleezio ya ezio nghanda.
100316005f	Babitambua baafumine mumbali Yeruzalemu, i baakuulile paakale kiputu kya kibumba kyaakonkelepo.
10031700eb	Benyamina ni Hasubu, i baakuulile paakale kiputu kya kibumba kyaakonkelepo kyakenteene ni nghanda yabo. Azaria mwina Maseia, Maseia mwina Anania, i waakuulile paakale kiputu kya kibumba kyaakonkelepo lya mumbali nghanda yakue ye mwine.
10031800ca	Binui mwina Henadadi, i waakuulile paakale kiputu kya kibumba kyaakonkelepo, kabili waakuulile paakale ni kunge, kutendekela pa nghanda yakua Azaria, mpaka pa lipeto lya kibumba, kabili mpaka pa kafuli.
10031900f2	Palali mwina Uzai ni ye i waakuulile paakale kiputu kya kibumba kyaakonkelepo kutula pa lipeto lya kibumba, ni ku lupungu luleepeesie pa nghanda ya bukolo ili pepi ni musolo wa bakalinda. Pa kyamba kyakue, waakonkelepo ni Pedaia mwina Parosi,
10031a00be	pamo ni babombi ba mu Nghanda yakua Leza, babo baali baikeele ku lupili lwa Ofeli, babo i baakuulile paakale kibumba kikenteene ni mulyango wa menda lya ku kabanga ni ku lupungu luleepeesie.
10031b00be	Bantu ba ku Tekoa i baakuulile paakale kiputu kya kibumba kyaakonkelepo ni mu nkendo inge walungheeme lya kolia kufumine lupungu luleepeesie, kabili mpaka ku kibumba kya pa lupili lwa Ofeli.
10031c007f	Pa muulu mulyango wa farasi, paakuulilue paakale na babitambua, kubalua kitambua waakuulile paakale pa ntanzi ya nghanda yakue.
10031d00e4	Sadoki mwina Imeri, i waakuulile paakale kiputu kya kibumba kyaakonkelepo kyaali kyali pa ntanzi ya nghanda yakue. Semaia mwina Sekania kalinda wa pa mulyango wa ku kabanga, i waakuulile paakale kiputu kya kibumba kyaakonkelepo.
10031e011a	Hanania mwina Selemia, ni Hanuni mwana wa mutanda mwina Zalafi, i baakuulile paakale kiputu kya kibumba kyaakonkelepo, kabili baakuulile paakale ni mu nkendo inge. Mesulamu mwina Berekia, i waakuulile paakale kiputu kya kibumba kyaakonkelepo kyaali kyali pa ntanzi ya nghanda yakue.
10031f010d	Malkia umo wa pa babombi baali basungulula oro, i waakuulile paakale kiputu kya kibumba kyaakonkelepo mpaka ku nghanda ya babombi ba mu Nghanda yakua Leza ni ya basulu ikenteene ni mulyango wa bakalinda ba pa mulyango, kabili mpaka pa muputule wa pa muulu wa mu kafuli.
10032000c7	Babombi baali basungulula oro pamo ni basulu, i baakuulile paakale kiputu kya kibumba kyaakonkelepo, kabili i baakuulile pa bukata bwa muputule wa pa muulu wa mu kafuli, mpaka pa mulyango wa mikooko.
1004010083	Sanibalati lu-aunvwile nangue twaali twalimukukuula paakale kibumba, waafiitilue ni kukisua mutima, ni kutendeka kubapunika Bayuda.
100402012f	Waalandile ntanzi ya balupua bakue, ni ntanzi ya balukale ba Basamaria nangue, “Kubako baba Bayuda bananghani kuti bakitaki? Eba, kuti baikuulila paakale kyubo? Kubako kuti baelelamo ni ngelelo? Kuti bapua mu busiku bumo? Kubako kuti babombia mabue elikiliilue na mului uziile wa bintu bituutikile?”
10040300ac	Kupwako, Tobia Muamoni waali wali pepi nakue walanda nangue, “Keki kibalimukukuula paakale anzia kine mumbue waiza kuselapo, kuti wabunghumuna kibumba kyabo kya mabue.”
1004040090	Ni ne naapepele, “Twilizia we Leza wetu, pantu twakila kufuupulua. Ozu mufuupula ubabwelele bo bene, baleke bateekue buzia mu kyalo kya bweni,
1004050067	kabili tekuvimba bubi bwabo ao kweleela bibalo byabo, pantu bakikuluvia ntanzi ya balia balibakuula.”
10040600b2	Ni pakako, fwefue twatwaaliliile kukuula paakale kibumba, kibumba kyonse twakikuulile mpaka pa bukata mu kutuuluka kwa kibumba, pantu bantu baali bali ni mutima wa kubomba miilo.
10040700ce	Kabili Sanibalati ni Tobia, ni Ba-arabu, ni Ba-amoni, ni Ba-asidodi, lubaunvwile nangue miilo ya kukuula paakale kibumba kya Yeruzalemu itwaliliile, ni palia paali patuutikile pakizibua, baakilile kufiitua.
1004080070	Libumba lyabo lyonse, lyaabambile kukambila kuti beze balwisie Yeruzalemu ni kuleeta kinvulunghania mukati muzi.
1004090054	Inzi twaapepele kuli Leza wetu, ni kubiika bakalinda bakutukingilila busiku ni koba.
10040a00ad	Pa ozo wenka musita Bayuda baalandile evi, “Maka a balia balibatwama bitwamo akeepa, Kabili pali mului ukata wa bintu bituutikile bya kutwanzia kukuula paakale kibumba.”
10040b0090	Balwani ni bo baalandile nangue, “Tebakaba kumana ao kumona musita utwakaba kwiza pakati kabo ni kubeepaya, pamo ni kulovia ozu mwilo wabo.”
10040c0096	Bayuda baali baikeele pepi ni balwani betu lubaunvwile twebo twabo, baizile kutusoka nghendo lyanondo nangue, “Konse kumwaakaya, baakamisakukila.”
10040d00c3	Ni pakako, naabiikile bantu ku kyamba kya kibumba kiipi ni paali pali tepanakuulue, naabiikilepo bantu mubabeelele mu lupua lwabo, bantu baali bali ni bipanga byabo, ni mikuuki, pamo ni mata abo.
10040e0149	Lunaamwene nangue bantu batooboka, naabaanine babiloolo, ni bemanizi, pamo ni bantu bange bonse nangue, “Tekutiine balwani benu, languluke vili bukulu bwakua Mulopue ni vi-ali ni maka. Kansi lue ni balwani benu pa mulandu wa lupua lwenu ni baana benu balalume ni banakazi, ni pa mulandu wa bakazi benu, pamo ni nghanda yenu.”
10040f00a4	Balwani betu lubainikile nangue twaunvua kale mpunda, ni kwinika nangue Leza wakiinoona mapange abo, fwe bonse twaabweleele ku kibumba kubalua muntu pa mwilo wakue.
10041000ea	Kutula pa ozo musita, nsempu ya babombi bane baatwaliliile kubomba koku inge nsempu ya babombi yalimukubomba mwilo wa bukalinda batweme mikuuki, ni bisoolelo, ni mata, ni makanzu a byela. Babiloolo betu baali bali ku lubali lwa Bayuda
1004110084	baali bakuula kibumba. Balia baali batwama bitwamo bya makuule, kubalua muntu waali wabomba na kuboko kumo ni kunge wakwete kilwilo.
1004120078	Bakakuula ni bo, kubalua muntu waali wakuula wakakile kipanga mu kitungu. Ni wakulizia ntandala waali wali pepi ni nene.
10041300ad	Naabaanine babiloolo, ni bemanizi, pamo ni bantu bange bonse nangue, “Miilo ivulile, kabili itanine, ni fwefue twakisalanghaniwa mu kibumba kubalua muntu kule ni mwinakue,
1004140052	lyonse kine mwaunvua ntandala yalila, palamineko, pantu Leza wetu alikutulwila.”
1004150085	Ni pakako, twaatwaliliile kubomba, bangepo pakati ketu baali batweme mikuuki kutula lukeelekeele mpaka musita wa kumoneka kwa ntanda.
10041600c6	Ozo wenka musita, na-anine kubalua mwalalume pamo ni mubombi wakue bekale mu Yeruzalemu musita wa busiku, evi tuye twali ni bakutusunga musita wa busiku, ni musita wa koba baye batwaliliile kubomba.
10041700ad	Ni pakako, nene ni lupua lwane, ni babombi bane, ni bakalinda baali bankonkele, tetwaavuulile ngubo yetu. Kubalua muntu waali waya ku kutapa menda watweme ni kilwilo kyakue.
1005010061	Pa kyamba kwaunvwikile mizowa ya bantu, ni ya bakazi babo, baali balimukwitendookela Bayuda nabo.
100502008b	Bantu baali balanda nangue, “Fwefue ni baana betu balalume ni banakazi tuvulile, kansi tupalile kupeeluako nghano tulie tukeeza kufua.”
10050300a5	Kwaali ni bange baali balanda nangue, “Twakibiikia makaba etu kuba kikwatizi, ni makaba a mizabibu, ni nghanda yetu, pakuti tukabe ni nghano pa musita wa nzala.”
1005040086	Kabili bange baali balanda nangue, “Twakikopa nfolanga ya kuti tukasonke musonko wa bisonso byetu, ni makaba a mizabibu kuli likolo.
100505011c	Fwefue tuli sie bantu bamo, ni baana betu bali sie nga baana babo. Anzia kili evio, tupatikiziiziwe kutwala baana betu mu buzia, ni bamo ba mu baana betu bakazyana tebasyali kale bazia, tetuli na ka kukita pantu bisoka byetu, ni makaba etu a mizabibu tebisyapokelue na bantu bange.”
1005060040	Naafiitilue sana lunaunvwile kwitendooka kwabo ni bulanzi bwabo.
