0100000018	ઊત્પત્તિ
134e4000b7	તેઓના યાજકો તલવારથી માર્યા ગયા અને તેઓની વિધવાઓએ કંઈ રુદન કર્યું નહિ.
134e4100ce	જેમ કોઈ ઊંઘમાંથી જાગે, તેમ, દ્રાક્ષારસના કેફથી શૂરવીર પુરુષની જેમ પ્રભુ ઊઠ્યા.
134e4200c6	તેમણે પાછળથી પોતાના શત્રુઓને માર્યા; તેમણે તેઓને સદાને માટે શરમિંદા કર્યા.
134e4300b9	તેમણે યૂસફના તંબુનો નકાર કર્યો અને એફ્રાઇમના કુળનો સ્વીકાર કર્યો નહિ.
134e4400a7	તેમણે યહૂદાના કુળને અને પોતાના પ્રિય સિયોન પર્વતને, પસંદ કર્યા.
134e450102	તેમણે પર્વત જેવું ઉન્નત અને સદા માટે સ્થાપન કરેલી પૃથ્વી જેવું અચળ પોતાનું પવિત્રસ્થાન બાંધ્યું.
134e4600c5	તેમણે વાડામાંથી ઘેટાંની સંભાળ રાખનાર દાઉદને પોતાના સેવક તરીકે પસંદ કર્યો.
134e470134	દૂઝણી ઘેટીઓની પાછળ ફરતો હતો, ત્યાંથી તેમના લોકો યાકૂબના સંતાનનું તથા તેમના વારસા ઇઝરાયલનું પાલન કરવા તે તેને લાવ્યા.
134e480092	દાઉદે તેમને શુદ્ધ હૃદયથી અને કૌશલ્યસભર શાણપણથી દોર્યા.
134f010163	આસાફનું ગીત. હે ઈશ્વર, વિદેશીઓ તમારા વતનમાં આવ્યા છે; તેઓએ તમારા પવિત્રસ્થાનને અશુદ્ધ કર્યુ છે; તેઓએ યરુશાલેમને ખંડિયેર કરી નાખ્યું છે.
134f02014c	તેઓએ તમારા સેવકોના મૃતદેહોને જંગલી પક્ષીઓને ખાવા માટે આપ્યા છે તેઓએ તમારા ભક્તોના મૃતદેહોને ખાવા માટે જંગલી પશુઓને આપ્યા છે.
134f0300d6	તેઓએ યરુશાલેમની આસપાસ પાણીની જેમ લોહી વહેવડાવ્યું છે અને તેઓને દફનાવનાર કોઈ નથી.
134f04010e	અમે અમારા પડોશીઓને નિંદારૂપ થયા છીએ, જેઓ અમારી આસપાસ છે તેઓની આગળ તિરસ્કારરૂપ તથા મશ્કરીપાત્ર થયા છીએ.
134f0500f2	હે યહોવાહ, ક્યાં સુધી? શું તમે સદાને માટે કોપાયમાન રહેશો? શું તમારો રોષ અગ્નિની જેમ સળગી ઊઠશે?
134f0600f5	જે વિદેશીઓ તમને જાણતા નથી અને જે રાજ્યની પ્રજાઓ તમારા નામે અરજ કરતી નથી, તેઓ પર તમારો કોપ રેડો.
134f0700a6	કારણ કે તેઓ યાકૂબને ગળી ગયા છે અને તેનું રહેઠાણ ઉજ્જડ કર્યું છે.
134f080164	અમારા પૂર્વજોનાં પાપોને લીધે અમને દોષિત ઠરાવશો નહિ; અમારા પર તમારી દયા કરવામાં વિલંબ કરશો નહિ, કારણ કે અમે બહુ દુર્દશામાં આવી પડ્યા છીએ.
134f09013e	હે અમારા ઉદ્ધારનાર ઈશ્વર, તમારા નામના મહિમાને માટે, અમારી સહાય કરો; તમારા નામની ખાતર અમને અમારાં પાપોથી બચાવો અને માફ કરો.
134f0a0154	વિદેશીઓ શા માટે એવું કહે છે કે, “તેઓના ઈશ્વર ક્યાં છે?” અમે નજરે જોઈએ એવી રીતે તમારા સેવકોના વહેવડાવેલા લોહીનો બદલો વિદેશીઓને આપો.
134f0b012f	બંદીવાનોના નિસાસા તમારી આગળ પહોંચો; જેઓ મરણને માટે નિર્મિત થયેલા છે તેઓનું, તમારા મહાન સામર્થ્ય પ્રમાણે, રક્ષણ કરો.
134f0c00f7	હે પ્રભુ, અમારા પડોશી જે રીતે તમારું અપમાન કરે છે, તે જ રીતે તેઓને તમે સાતગણી સજા તેઓના ખોળે આપો.
134f0d0124	જેથી અમે અમારા લોકો તથા તમારા ચારના ઘેટાં નિરંતર તમારી આભારસ્તુતિ કરીશું. પેઢી દરપેઢી અમે તમારું સ્તવન કરીશું.
13500101d5	મુખ્ય ગવૈયાને માટે; રાગ શોશાન્નીમ-એદૂથ. આસાફનું ગીત. હે ઇઝરાયલનાં પાળક, અમારી પ્રાર્થના સાંભળો; જેમણે યૂસફના લોકોને ઘેટાંની જેમ દોર્યા હતા; કરુબો પર બિરાજમાન અમારા પર પ્રકાશ પાડો!
