0100000009	ኡመመ
170b0d00ca	ህናፋን ኤፍሬም ንበደ፤ ዲኖትን ይሁዳስ ንበርበዴፈሙ፤ ኤፍሬም ጋፈስ ይሁዳት ህንህናፉ፤ ዮካን ይሁዳን ኤፍሬምት ህንሀማቱ።
170b0e00f1	እሳን ከራ ልጠ ቢፍቱቲን ገቲቲ ፍልስጤምት ገድ ቡኡ፤ ቶኮ ተአኒስ ኡመተ በአ ቢፍቱ ሳሙ። እሳን ኤዶሚፊ ሞኣብን ቀበቱ፤ ወር አሞንስ እሳን ጀለት ቡሉ።
170b0f0115	ዋቀዮ ጉቱማን ጉቱት፣ ገሎ ገላነ ግብጥ ንጎግሰ፤ እን ቡቤሳ ከን ነመ ወጠሉን ሀርከሳ ለገ ኤፍራጢስረ ሶቾሰ። አከ ነሞትን ኮጴን ጬአኒፍስ እን ለገ ቶርበት ገርገር እሰ ቆደ።
170b1000ab	አኩመ ጋፈ እሳን ግብጢ በአን እስራኤሊፍ ተኤ ሰነ፣ ሀምባ ሰበሳ ከን አሶርራ ሀፌፍ ከራን ጉዳን ንአርገመ።
170c0100bb	አት ጋፈስ አከነ ጄተ፦ “ያ ዋቀዮ፣ አት ነት ኣርቴ ቱርቴ፤ ኣሪንኬስ ነራ ዴብኤረ፤ ነ ጀጀቤስቴርታቲ ስን ገለቴፈዸ።
170c0200d4	ዹጉማን ዋቅን ፈይነኮት፤ አን እሰ ነንአብደዸ፤ ህንሶዳዹስ። ዋቀዮ፣ ዋቀዮ መታንሳ፣ ጀብናፊ ፋርፈትናኮት፤ እን ፈይነኮ ተኤረ።”
170c03004e	እስን ቡርቃ ፈይና ኬሳ ገመቹዻን ብሻን ወራበቱ።
170c0400db	እስን በረ ሰነ ኬሰ አከነ ጄቱ፦ “ዋቀዮፍ ገለተ ገልቻ፤ መቃሳ ዋመዻ፤ ዋን እን ሆጄቴ ሰቦተት ቤክስሳ፤ አከ መቃንሳ ኦል ኦል ጄዼ ለለባ።
170c05008a	እን ዋን ኡልፍነ ቀቡ ሆጄቴራቲ ዋቀዮን ፋርፈዻ፤ ወን ኩን አዱኛ ሁንደ ኬሰት ሃቤከሙ።
170c060099	ያ ሰበ ጥዮን፣ ቁልቁልች እስራኤል እስን ግዱት ጉዳዻቲ ሰገሌ ኦል ፉዸዻቲ ገመቹዻን ፋርፈዻ።”
170d01004f	ራጂ ዋኤ ባብሎን ከን እሳያስ እልም አሞስ አርጌ፦
170d0200c3	ቱሉ ሆማ እት ህንብቅልንረት ፋጂ ኦል ካሳቲ እሳንት እያ፤ አከ እሳን ከረ ነሞተ ቤቤከሞቲን ኦል ገለኒፍ ሀርካን እት ህማ።
170d0300b9	አን ቁልቁሎተኮ አጀጄረ፤ አከ እሳን ዼከምሰኮ ሆጂረ ና ኦልቸኒፍ አን ሎልቶተኮ ከኔን ሞአትኖኮት ገመደን ዋመዼረ።
170d0400f5	ወጨ ቱሉወንራ፣ ከን አከ ቱተ ጉዳ ቶኮ ዸጌፈዻ! ጉንጉሚ ሞቱሞታ ከን ሰቦተ ወልት ቀበመኒ ዸጌፈዻ! ዋቀዮ ዋን ሁንደ ደንደኡ ሎላፍ ጄዼ ሎልቶተ ቆጴፈቻ ጅረ!
170d0500a1	እሳን ብየ ፈጎዻ ዳሪ ሰሚወኒቲ ዹፈን፤ ዋቀዮፊ ምአ ሎላ ከን ዼከምሰሳቲን ጉቱማ ብየቲ በሌሱፍ ዹፉ።
170d06009f	ዋን ጉያን ዋቀዮ ዽኣቴፍ ቦኣ፤ ጉያን ሱን አኩመ በዲሰ ዋቀ ዋን ሁንደ ደንደኡ ብራ ኤርገሜት ንዹፈ።
170d07005e	ከናፉ ሀርክ ሁንድኑ ንላምሸአ፤ ኦኔን ነመ ሁንዳስ ንበቀ።
170d0800e5	ሶዳን እሳን ቀበተ፤ ዹኩቢፊ ገድ እሳን ቀበተ፤ አኩመ ዱበርቲ ጭኒንሱን ቀቤት ውጥርፈቱ። እሳን ርፈተኒ ወል እላሉ፤ ፉልሳኒ አከ እብዳ ዲመተ።
170d0900bd	ኩኖ ጉያን ዋቀዮ፣ ጉያን ሀማን፣ ዼከምሳፊ ኣሪ ሶዳችሳዻን፣ ለፈ ኦንሱፊ ጩበሞተ እሼ ኬሰ ጅራተን በርበዴሱፍ ንዹፈ።
170d0a009a	ኡርጂወን ሰሚቲፊ ቱትንሳኒ እፈሳኒ ህንኬነን። አዱን ባቱ ንዱከኖፍት፤ ጅእስ እፈሼ ህንኬንቱ።
170d0b00ec	አን አዱኛ ከነ ሰበቢ ጀልእነሳቲፍ፣ ሀሞተ ሰበቢ ጩቡሳኒቲፍ ነንአደበ። አን ኦፍ ቱሉማ ኦፍ ጀጆታ ነንበሌሰ፤ ኦፍ ጉድሱ ገረ ጀቤዪሌ ገድን ዴብሰ።
170d0c0088	አን አከ ነምን ወርቄ ቁልቁሉ ጫላ ገት ቀቤሰ፣ ወርቄ ኦፊር ጫላስ ሙራሰ ተኡ ነንጎዸ።
170d0d00c7	ከናፉ አን አከ ሰሚወን ሆለተን ነንጎዸ፤ ጋፈ ኣሪንሳ ቦበኡት ዼከምሰ ዋቀዮ ዋን ሁንደ ደንደኡቲን ለፍት እዶሼቲ ንራፈምት።
170d0e00bd	ነምን ሁንድኑ አኩመ ኩሩጴ አደምሰምቱ፣ አኩመ ሆሎተ ትክሴ ህንቀብኔ ገረ ሰበሳት ዴብአ፤ ነምን ከምዩ ብየሳት በቀተ።
170d0f006b	ነምን ቦጅአሜ ሁንድኑ ንወራነመ፤ ከን ቀበሜ ከምዩ ጎራዴዻን ዱአ።
170d100092	ዳእመንሳኒ ፉሉመሳኒ ዱረት ንጭጭረሙ፤ መኔንሳኒ ንሳመሙ፤ ኒቶትንሳኒስ ሁምናን ጉዴደሙ።
170d11008a	ኩኖ አን ወረ ሜዴ ከኔን ሜቲራ ዽመ ህንቀብኔ ወረ ወርቄን ህንገመቺፍኔ ጀረትን ከካሰ።
170d120080	እዳንሳኒ ደርገጎተ ፍጥ፤ እሳን ዳእመኒፍ ህንነአን፤ እጆሌፍስ ገራ ህንላፈን።
170d1300a3	ባብሎን ኡልፍን ሞቶታ፣ ሚዸግን ኦፍ ጀጀ ወረ ባብሎን አኩመ ሶዶሚፊ ጎሞራ እሬ ዋቃቲን ገረገልፈምት።
170d140109	ነምን እሼ ኬሰ ህንቁበቱ፤ ዮካን ዸሎተ ሁንደ ኬሰት ነምን እሼ ኬሰ ህንጅራቱ፤ ነምን አረባ ቶኮዩ ዱንካነሳ አች ህንዻበቱ፤ ትክሴን ቶኮዩ ቡሻዬሳ አች ህንቦቆቺፈቱ።
170d1500b4	ገሩ ብኔንሶትን ቦሶና አች ጭጪሱ፤ ዋንጎወን መነሼ ንጉቱ፤ ኡሩንጉን አች ጅራት፤ ሬኤን ዲዳ አች ኬሰ ቡቡራቅጥ።
170d1600b9	ወራቤስ ደአኖወንሼ ኬሳ ዩሰ፤ ዋንጎንስ መኔንሼ ምሚዸጎ ከን ሞቱማ ኬሳ እይት። ዬሮንሼ ገኤረ፤ በርሼስ ህንዼረቱ።
170e0100e2	ዋቀዮ ያቆቢፍ ገራ ንላፈ፤ እን አመሌ እስራኤልን ፍለቴ ብየሳኒ ኬሰ እሳን ቁበቺሰ። ኦርሞትን እሳንት ደበለሙ፤ መነ ያቆብ ወጅንስ ቶኮ ተኡ።
170e020137	ሰቦትን እሳን ፉዸቱ፤ እዶ ኦፊሳኒት እሳን ዴብሱ። መን እስራኤልሞ አኩመ ሆጄቶተ ዺራፊ ዱበርቲት ለፈ ዋቀዮ ኬሰት ዻለ ጎዸኒ እሳን ፉዸቱ። እሳን ቦጅቶተሳኒ ቦጅአኒ ወረ እሳን ሀጩጨንስ ቡልቹ።
170e0300a1	ጉያ ዋቀዮ እት ዽጵነ፣ ረክናፊ ሆጂ ሀማ እስን እት ገርቦምፈምተኒ ቱርተን ሰነ ጀላ እስን ቦቆቺሱት፣
170e04008e	አከነ ጄቴ ሞቲ ባብሎንት ንቆስተ፦ ጩንቁርስች አከምት በዴ! ኣሪንሳስ አከምት እሰራ ገሌ!
170e05003a	ዋቀዮ ኡሌ ሀሞታቲፊ ቦኩ ቡልችቶታ፣
170e0600a2	ከን ዼከምሰ ወልራ ህንጭኔቲን ኡመተ ሩኩቴ፤ ከን ገረ ላፍነ ቶኮ መሌ አርኤ ሰቦተ ዸኤ ሰነ ጨጨብሴረ።
170e070054	ለፍት ሁንድ ቦቆናፊ ነጋ አርገት፤ ፋርፈቹትስ ካት።
170e0800b5	ጋትራወኒፊ ብርብርሰወን ልባኖንዩ እስንት ቡራቀኒ፣ “አመ አት ኩፍቴርተ፤ ነምን ቶኮዩ ኑ ሙሩፍ ህንዹፉ” ጄዹ።
170e09014a	ሲኦል እሼን ገዲ ዬሮ አት ዹፍቱት ስ ስመቹፍ ካት፤ እሼን አከ እሳን ስ ዱብሰኒፍ ሀፉሮተ ወረ ዱአኒ፣ ወረ አዱኛረት ሆገንቶተ ቱረኒ ሁንደ ደመቅስቴርት፤ እሼን ወረ ሞቶተ ሰቦታ ቱረን ሁንደ ቴሶሳኒራ ካፍት።
170e0a008d	እሳን ሁንድኑ ዴብሰኒ አከነ ጄዹ፤ “አትስ አኩመኬኘ ደዸብዴርተ፤ አኩመኬኘ ታቴርተ።”
170e0b00ae	ኡልፍንኬ ሁንድኑ፣ ሰገሌ በገናኬቲ ወጅን አዋለ ኬሰ ቡፈሜረ፤ እልማን ራሞ ስ ጀለ አፈመኒ ራሞን ስ ሀጉግድ።
170e0c00c9	ያ በከልቸ በሪ፣ እልመ በሪ በራቃ፣ አት አከምት ሰሚራ ለፈ ዾፍቴ! አት ከን ዱራን ሰቦተ ገድ ቀብዴ፣ ለፈት ገድ ደርበተምቴርተ!
170e0d00f8	አት ገራኬት አከነ ጄቴ፤ “አን ሰሚት ኦልን በአ፤ አን ኡርጂወን ዋቃቲ ኦልት ቴሶኮ ኦልን ባፈዸ፤ አን ቱሉ ወል ገኢረ፣ ፊጤ ቱሉ ቁልቁልቻረ ቴሶረ ነንታአ።
170e0e0085	አን ፊጤ ዱሜሶታ ገረራት ኦል ነንበአ፤ አን አከ ዋቀ ዋን ሁንዳ ኦሊ ኦፍን ታስሰ።”
170e0f004c	ገሩ አት ሲኦል ኬሰ፣ ቦለ ቅሌ ኬሰ ቡፈምቴርተ።
170e1000bc	ወር ስ አርገን እጀ በባሰኒ ስ እላሉ፤ አከነ ጄዸኒስ ድንቅሲፈቱ፦ “ኩን ነምቹመ ለፈ ሶቾሴ አከ ሞቱሞን ራፈመን ጎዼ፣
170e1100ab	ነምቸ አዱኛ ከነ ገሞጂ ጎዼ፣ ከን መጋላወንሼ ገገረገልቼ አከ ወር ቦጅአመን መነሳኒት ህንዴብኔ ጎዼ ሰና?”
170e12005d	ሞቶትን ሰቦታ ሁንድ፣ ኡልፍናን አዋለሳኒ ኬሰ ጭጪሰኒሩ።
170e13013a	አት ገሩ አኩመ ደሜ ጅበሜ ቶኮት፣ አዋለኬ ኬሳ ባፈምቴ ገተምቴርተ፤ አት ወረ አጄፈመኒን፣ ወረ ጎራዴን ወራነመኒን፣ ወረ ገረ ዸጋ ቦላት ገድ ቡአኒን ሀጉገምቴርተ። አኩመ ሬፋ ሚላን ዽዺተምቴርተ፤
170e1400a6	አት ሰበቢ ብየኬ በሌስቴ ነሞተኬ ፍጤፍ፣ እሳን ግዱት ህንአዋለምቱ። መቃን ሰኚ ሀሞታ ለመተ ህንዸአሙ።
170e1500c2	ሰበቢ ጩቡ አቦቲሳኒቲፍ እዶ እልማንሳ እት ቀለመን ቆጴሳ፤ እሳን ብየ ዻሉዻፍ፣ መጋላወንሳኒቲንስ ለፈ ጉቱፍ ህንከአን።
170e1600e0	“አን እሳንት ነንከአ፣” ጄዸ ዋቀዮ ዋን ሁንደ ደንደኡ። “አን ባብሎን ኬሳ መቃሼቲፊ ሀምባሼ፣ እልማንሼቲፊ ሰኚሼ ነንበሌሰ” ጄዸ ዋቀዮ።
170e1700c6	“አን እዶ ኡሩንጉን ኬሰ ጅራቱፊ ለፈ ጨፌ እሼ ነንጎዸ፤ አን ሀርቱ በዲሳቲን እሼ ነንሀጣአ” ጄዸ ዋቀዮ ዋን ሁንደ ደንደኡ።
170e1800d7	ዋቀዮ ዋን ሁንደ ደንደኡ አከነ ጄዼ ከከቴረ፤ “ዹጉማን አኩመ አን ዱራን ከሮርፈዼ ሰነ ወን ኩን ንተአ፤ አኩመ አን ያዴ ሰነስ ንዻበተ።
170e1900db	አን ብየኮ ኬሰት አሶሮተ ነንበርበዴሰ፤ ቱሉወንኮረት አን እሰ ገድን ዽዺተ። ዋንጆንሳ ሰበኮራ ንፉዸመ፤ በኣንሳስ ገቲቲሳኒራ ንቡአ።”
170e1a007e	ከሮር ጉቱማ አዱኛቲፍ ሙርታኤ ከናዸ፤ ኩን ሀርከ ሰቦተ ሁንደረት ድሪርፈሜዸ።
170e1b00be	ዋቀዮ ዋን ሁንደ ደንደኡ ዋን ከነ ያዴራቲ፣ ኤኙቱ እሰ ገረ ገልቸ? ሀርክሳ ድሪርፈሜራ፤ ኤኙቱ ዱበት እሰ ዴብሱ ደንደአ?
170e1c0043	ራጂን ኩን በረ ኣሃዝ ሞትች ዱኤ ኬሰ ዹፌ፦
170e1d00e1	ያ ፍልስጤሞተ፣ ኡሌን እስን ዸኤ ዋን ጨቤፍ፣ እስን ሁንድኑ ህንገመድና፤ ህደ ቦፈ ሰና ኬሳ ቡቲቱ በአ፤ እጅሳ ቦፈ ደርበተማ ሱሚ ቀቡ ንተአ።
170e1e00c7	ህዬስ ገደደማን እዶ እት ቦበኡ አርገተ፤ ረከታንስ ነጋዻን ጪሰ። ህደኬ ገሩ አን ቤላን ነንበርበዴሰ፤ ቤልስ ሀምባኬ ንፍጠ።
170e1f00ed	ያ ከረ፣ አት ቦእ! ያ መጋላ፣ እይ! ፍልስጤሞትን ሁንድ በቃቲ በዳ! ዱሜስ ኣራ ቶኮ ከራ ካባቲን ንዹፈ፤ ራያ ወራነሳ ኬሰስ ከን ጭቴ ሀፉ ቶኮዩ ህንጅሩ።
170e2000d8	ኤርገሞተ ሰበ ሰናቲፍ ዴቢ አከሚቱ ኬነሙ መለ? “ዋቀዮ ጀቤሴ ጥዮንን ዻቤረ፤ እሼ ኬሰትስ ነሞትንሳ ከኔን ሚዸመን ደአትኖ ንአርገቱ።”
170f0100e0	ራጂ ዋኤ ሞኣብ፦ ኣር እሼን ሞኣብ ኬሳ ዲገምቴርት፤ ሀልከኑመ ቶኮትስ በዴርት! ቂር እሼን ሞኣብ ኬሳ ዲገምቴርት፤ ሀልከኑመ ቶኮትስ በዴርት!
170f0200ee	ዲቦን ገረ መነ ቁልቁሉማት፣ እዶወን ኦል ከኣት ቦኡፍ ኦል በአ፤ ሞኣብስ ኔቦፊ ሜዴባፍ ንቦአ። መታን ሁንድኑ ሃደማዸ፤ አሬድን ሁንድኑስ ጭጭረማዸ።
170f0300ae	እሳን ዳንዲረት ወያ ገዳ ኡፈቱ፤ በንቲ መናቲፊ ወልተጂ ሰባረት ሁንድሳኒ ንቦኡ፤ እምማንሳኒስ ንዸንገላሱ።
170f0400c7	ሄሽቦኒፊ ኤሌኣሌን ንእዩ፤ ሰገሌንሳኒስ ሀመ ያሀዚት ፈጋቴ ዸገአሜ። ከናፉ ሎልቶትን ሞኣብ ንእዩ፤ ሉቡንሳኒስ ንሮምእቴ።
170f05010c	ገራንኮ ሞኣቢፍ እየ፤ ኮሉ ገልቶትንሼ ሀመ ዞኣሪት፣ ሀመ ኤግላት ሼልሽያት በቀቱ። እሳን ቦኣ፣ ገረ ሉሂትት ኦል በኡ፤ ከራ ሆሮናይምረትስ፣ ዋኤ በዲሳኒ ፋርሰኒ ቦኡ።
170f0600a7	ብሻኖትን ኒምሪም ጎገኒሩ፤ መርግስ ጮለጌረ፤ ብቅልቱወን ለፋ በደኒሩ፤ ወን መገሪስን ቶኮዩ ህንሀፍኔ።
170f07007c	ከናፉ እሳን ቀቤኘ አርገተኒ ኩፈተን ሰነ ለገ አለልቱ እራን ባተኒ ደበርፈቱ።
170f0800b2	እይሳኒ ሀመ ዳሪ ሞኣብት ዸገአሜ፤ ወዋቹንሳኒ ሀመ ኤግለዪምት ፋሩን ቦእቸሳኒስ ሀመ ቤኤር ኤሊሚንት ዸገአሜ።
170f0900df	ብሻኖትን ዲሞን ዺጋን ጉተመኒሩ፤ አንሞ ዋን ከነ ጫሉዩ ዲሞንት ነንፍደ፤ ወረ ሞኣብ ኬሳ በቀተን ከኔን ብየ ሰነት ሀፈንት ሌንጨ ነንኤርገ።
17100100a1	ሴላ፣ ገሞጂ ገመ ጅርቱ ሰነራ ቡልቻ ብየቲቲፍ፣ ገረ ቱሉ እንተለ ጥዮንት ጦባላወን ሆላ ግብረ ኤርጋ።
17100200ad	አኩመ ስምብረ መንኤሼ ኬሳ አርአምቴ አሲፊ አች ፊግዱ ዱበርቶትን ሞኣብስ መልካ ለገ አርኖንት አከሱመ ተኡ።
17100300c9	“ጎርሰ ኑፍ ኬና፤ ሙርቲ ሙርቴሳ። ጉያ ሳፋዻን ጋድዱኬሰን አኩመ ሀልከኒ ዱከኔሳ። በቀቶተስ ዾክሳ፤ ኮሉ ገልቶተ ህንገንና።
17100400da	በቀቶትን ሞኣብ እስን ወጅን ሃጅራተን፤ በሌስቱራ ደኦ እሳኒፍ ተኣ።” ጩንቁርሳን ንበደ፤ በዲስንስ ንሀፈ፤ ወር ነመ ሚዸን ለፈራ በዱ።
17100500f3	ቴሶን ጃለላን ሁንዴፈመ፤ መነ ዳዊት ኬሳ ነምን ሙርቲ ኬኑረት ሙርቲ ቀጄላ በርባዱ፣ ከን ዋን ቀጄላ ሆጄቹፍ አሪፈቱ ቶኮ አመነሙማዻን ቴሶ ሰነረ ንታአ።
17100600ac	ኑ ኦፍ ቱሉማ ሞኣብ፣ ኦፍ ጉድሱፊ ኮሩሼ፣ ኦፍ ቱሉፊ አደጌ ተኡሼ ዸጌኜረ፤ ኦፍ ጀጁንሼ ገሩ ፋይዳ ህንቀቡ።
1710070099	ከናፉ ሞኣቦን ንቦኡ፤ እሳን ቶኩማዻን ሞኣቢፍ ቦኡ። ነሞተ ቂር ሀሬሼቲፍ ፋርሰኒ ቦኡዻን ገዱ።
1710080135	ለፍት ቆቲሳ ሄሽቦን፣ ሙክን ወይኒ ስብማስ ጮለጌረ። ቡልችቶትን ሰቦታ ሙኬን ወይኒ ፍለተሞ ከኔን ዱራን የእዜርን ገአኒ ገረ ገሞጂት በበልአተን ዽዺተኒሩ። ለታንሳኒ ዼረቴ ሀመ ገላናት ድሪሬ።
171009013c	ከናፉ አን አኩመ የእዜር ቦሴ ሰነ፣ ሙኬን ወይኒ ስብማቲፍ ነንቦአ። ያ ሄሽቦን፣ ያ ኤሌኣሌ፣ አን እምማንኮቲን ስን ጂሰ! እልሌን ዬሮ ምዻን ሲፍ ገኤቲፊ ገመቹን ዬሮ ምዻን ሲፍ ሃመሙ ቱሬ ሱን ሀፌረ።
17100a0135	እልልቹፊ ገመዱን እዶ ብቅልቱ ኬሳ በደኒሩ፤ ነምን ቶኮዩ እዶ ዻባ ወይኒ ኬሰት ህንፋርፈቱ ዮካን ህንእልልቹ፦ ሰበቢ አን እልሌ በሌሴፍ ነምን እዶ ወይኒ እት ጩንፈንት ወይኒ ዽዺቱ ቶኮ ህንጅሩ።
17100b006f	ገራንኮ አኩመ በገና ፋርሴ ሞኣቢፍ ቦአ፤ ኬስኮስ ቂር ሀሬሼቲፍ ቦአ።
17100c00c6	ሞኣብ ዮ እዶ ኦል ከኣት ሙልአቴ፣ እሼን ኦፉመ ደዸብሲፍት፤ ዮ ከዸናፍ ገረ እዶ ቁልቁሉሼ ዸቅጤ ኩንስ ፋይዳ ቶኮሌ ህንቀቡ።
17100d0042	ኩን ዱቢ ዋቀዮ ዱራኑ ዋኤ ሞኣብ ዱበቴዸ።
17100e011f	ዋቀዮ ገሩ አመ አከነ ጄዸ፦ “ወጋ ሰዲ ኬሰት፣ ኡልፍን ሞኣቢፊ ነሞትንሼ ሄዱን ሁንድ አኩመ ሆጄታን ቶኮ ጉያሳ ለካአቱ ሰነ ንቱፈተሙ፤ ከኔን ሀፈንስ አከ መሌ ሙራሳፊ ደዸቦ ተኡ።”
1711010089	ራጂ ደማስቆዻን ሞርሙ፦ “ኩኖ፣ ደማስቆን ቱላ ዲገምቴ ታት መሌ ስአች መጋላ ህንታቱ።
1711020082	መጋላወን አሮኤር ንኦኑ፤ ቡሻዬን አች ጭጪሱ፤ ወን እሳን ሶዳችሱ ቶኮዩ ህንጅሩ።
17110300f5	መጋላን ጀቤፈምቴ እጃረምቴ ኤፍሬም ኬሳ፣ ሁምን ሞቱማስ ደማስቆ ኬሳ ንበደ፤ ሀምባን ሶርያ አከ ኡልፍነ እስራኤሎታ ተአ” ጄዸ ዋቀዮ ዋን ሁንደ ደንደኡ።
171104006f	“በረ ሰነ ኬሰ ኡልፍን ያቆብ ገድ ዴብአ፤ ፉርድን ዸግነሳስ ንሁቀተ።
17110500dc	አኩመ ነምን ምዻን ሃሙ ቶኮ፣ ምዻን ዻበቱ ወልት ቀቤ እሬሳቲን ሃሙ ሰነ ኩንስ አኩመ ዬሮ ነምን ቶኮ ሱሉለ ሬፋይም ኬሳ ቀርሚ ፉናኑ ንተአ።
171106012b	ተኡስ አኩመ ዬሮ ሙክን ኤጄርሳ ዸአሙት፣ ቀርሚ ጉሩን አመዩ ጅረ፤ ፊጤ ኦል ኣኑረት ጉማ ለመ ዮካን ሰዲቱ ሀፈ፤ ደሜ ገድ ኣኑረት ጉማ አፉር ዮካን ሸንቱ ሀፈ” ጄዸ ዋቀዮ፣ ዋቅን እስራኤል።
171107007e	ጋፈስ ነሞትን ገረ ኡማሳኒ እላሉ፤ እጀሳኒስ ገረ ቁልቁልቸ እስራኤል ዴብፈቱ።
17110800ee	እሳን ገረ እዶ ኣርሳ፣ ገረ ሆጂ ሀርከሳኒ ህንእላለን፤ እሳን ገልመ ዋቄፈትና ኣሼራ፣ እዶ ኣርሳ እጣና ከን ቁበሳኒቲን ቶልቸንስ ወይቱ ህንለካአን።
17110900cd	ጋፈስ መጋላወን ጀጀቦን እሳን ሰበቢ እስራኤሎታቲፍ ኬሳ በአን ሱን አኩመ ለፈ ቦሶነ ኬሳ ከን ነምን ዺሴ ዴሜ ተኡ። ሁንድ ንኦኑ።
17110a00dd	አት ፈይሳኬ፣ ዋቀ እራንፈቴርተ፤ አት ከታ፣ ደኦኬ ህንያደትኔ። ከናፉ ዮ ብቅልቱ አከ መሌ ጋሪ ዻበቴ ሙከ ወይኒ ከን አላ ዹፌ ብቅልፈቴዩ፣
17110b00dc	ዮ ጉዩመ ዻብዴ ሰነ አከ እን ብቅሉ ጎቴዩ ገነመ ዬሮ ዻብዴት አከ እን ደራሩ ጎተ፤ ገሩ ጉያ ዹኩባፊ ዽቤ ህንፈይኔት ወይንች ሆማ ህንፈየዱ።
17110c00c3	ሰቦተ ባይኤ ከኔን ኣረኒፍ ወዮ! እሳን አኩመ ገላነ ኣሩት ኣሩ! ሰቦተ ወጨኒፍ ወዮ! እሳን አኩመ ብሻን ጉዳን ሁርሱት ሁርሱ።
17110d0132	ሰቦትን አኩመ ሁርሳ ብሻን ጨብሴ ዴሙ ዮ ሁርሴዩ ዮሙ እን እሳንት ዼከሙ እሳን በቀተኒ በዱ፤ አኩመ ሀበቂን ቱሉራ ፉለ ቡቤ ዱረ አርአሙ፣ አኩመ አዋር ፉለ ቡቤ ሀማ ዱራ ብትናኡ እሳን ንብትናኡ።
17110e00bd	ገልገለ ሶዳን አኩመ ተሳ እሳን ቀበት! እሳን ኡቱ ለፍት ህንበርእን ንዸበሙ! ኩን ቆደ ወረ ኑ ቦጅኤ፣ ህሬ ወረ ኑ ሳሜት።
171201005b	ብየ ለጌን እቶጵያቲን ገማ ከን ቆቾሼቲን ሻክፍቱፍ ወዮ፤
1712020178	እሼን ገላነረ፣ ብድሩ ዸላዱቲን ኤርገሞተ ብሻንረ ኤርግት። ያ ኤርገሞተ አሪፈቶተ፣ ገረ ሰበ ዼዼሮ ከኔን ጎጋንሳኒ ለላፉ፣ ገረ ሰበ ፈጎፊ ዽኦትስ ሶዳተሙ፣ ሰበ ጀባፊ አፋንሳ ህንቤከምኔ ከን ብይሳኒ ለጌኒን ገርገር ቆደምቴ ሰና ዸቃ።
17120300ce	እስን ኡመትን አዱኛ ሁንድ፣ ወር ለፈረ ጅራተን ዬሮ መለቶን ጋረረት ኦል ቀበሙ ንአርግቱ፤ ዬሮ መለከትን አፉፈሙስ እኑመ ዸጌሱ።
17120400f1	ዋቀዮ አከነ ናን ጄዼ፦ “አን አኩመ ሆአ እፈ አዱ ኬሰት ጨለቅሱ፣ አኩመ ዱሜሰ ፍጤንሳ ከን ሆአ ዬሮ ምዻን ገልቸኒት ጨልእሴ እዶ ጅሬኘኮቲ ነንእላለ።”
17120500f7	ሃማ ምዻኒቲን ዱረ፣ ዬሮ ሁዻን ደራሬ ደራራን ሱንስ እጀ ወይኒ ብልቻቴ ተኡት እን ብላ እቲን ቆረኒን ለታሳ ንጭጭረ፤ ደሜ በበልአቴስ እራ ሙርሙሬ ንበሌሰ።
17120600cf	እሳን ሁንድኑ አላቲ ቱሉ ከን ዋ አደምሱፊ ብኔንሶተ ቦሶናቲፍ ዺፈሙ፤ አላቲን ቦነ ጉቱ፣ ብኔንሶትን ቦሶናስ ገነ ጉቱ እሳን ኛቱ።
