0100000008	Ebandeli
0e03090079	Basete oyo basalelaki ezalaki ya wolo, mpe ezalaki ya bagrame nkama motoba. Apakolaki lisusu wolo na bashambre ya likolo.
0e030a005b	Atiaki bililingi ya basheribe mibale kati na Esika-Oyo-Eleki-Bule mpe apakolaki yango wolo.
0e030b017d	Mapapu ya basheribe ezalaki na bametele pene zomi na molayi. Lipapu ya sheribe ya liboso ezalaki na molayi ya bametele mibale na basantimetele tuku mitano, mpe etutaki mir ya Tempelo ya Yawe; bongo lipapu na ye mosusu, oyo ezalaki na bametele mibale na basantimetele tuku mitano, etutaki lipapu ya sheribe ya mibale, oyo ezalaki mpe na bametele mibale na basantimetele tuku mitano.
0e030c011e	Ndenge moko mpe mpo na lipapu ya sheribe ya mibale, oyo ezalaki na molayi ya bametele mibale na basantimetele tuku mitano: etutaki mir mosusu ya Tempelo ya Yawe; mpe lipapu mosusu oyo ezalaki na molayi ya bametele mibale na basantimetele tuku mitano etutaki lipapu ya sheribe ya liboso.
0e030d00cf	Mapapu ya basheribe yango ezalaki ya kofungwama na molayi ya bametele pene zomi. Basheribe nyonso mibale batelemaki na makolo na bango, mpe bilongi na bango ezalaki kotala na ngambo ya kati ya Esika ya bule.
0e030e0086	Asalaki rido ya lino, ya langi ya ble, ya motane ya pete mpe ya motane makasi, mpe atongaki bililingi ya basheribe na likolo na yango.
0e030f00d0	Na liboso ya Tempelo ya Yawe, atongaki makonzi mibale oyo ezalaki na bametele pene zomi na sambo na bosanda. Na likolo ya likonzi moko na moko, ezalaki na moto ya bametele mibale na basantimetele tuku mitano.
0e031000ea	Asalaki bililingi ya basinga elingama-lingama lokola basheni mpe atiaki yango na mito ya makonzi; asalaki lisusu bililingi ya bambuma nkama moko ya grenade, mpe akangisaki yango na bililingi ya basinga elingama-lingama lokola basheni.
0e031100e1	Mpe atongaki makonzi liboso ya Tempelo ya Yawe: moko na ngambo ya loboko ya mwasi, mpe mosusu, na ngambo ya loboko ya mobali. Abengaki likonzi ya ngambo ya loboko ya mwasi Yakini, mpe oyo ya ngambo ya loboko ya mobali, Boazi.
0e0401007b	Salomo asalaki etumbelo ya bronze ya bametele zomi na molayi, bametele pene zomi na mokuse, mpe bametele mitano na bosanda.
0e040200e8	Asalaki nzungu ya monene ya bronze, oyo ezalaki na lolenge ya libungutulu: monene na yango ezalaki na bametele mitano; bosanda na yango, bametele mibale na basantimetele tuku mitano, mpe zingazinga na yango, bametele zomi na mitano.
0e040300fd	Na se ya monoko na yango, na pembeni na yango nyonso, ezalaki na milongo mibale ya bililingi ya bangombe oyo banyangwisaki mpe babambaki na nzungu ya monene mpo ete esala eloko kaka moko; ezalaki bililingi zomi mpo na molayi ya kati-kati ya metele moko.
0e040400ff	Nzungu yango evandisamaki na likolo ya bikeko ya bangombe zomi na mibale: misato etalaki na ngambo ya nor; misato, na ngambo ya weste; misato, na ngambo ya sude; mpe misato, na ngambo ya este. Bongo sima ya bangombe yango nyonso etalaki na ngambo ya kati.
0e040500e6	Mbinga ya nzungu yango ezalaki na basantimetele pene mwambe. Babongisaki pembeni ya monoko na yango lokola pembeni ya kopo oyo batia bililingi ya fololo ya lisi. Ezalaki kotonda na balitele ya mayi pene nkoto tuku minei na misato.
0e040600ec	Salomo asalaki lisusu basani zomi ya minene: mitano na ngambo ya loboko ya mobali, mpe mitano, na ngambo ya loboko ya mwasi, mpo na kosukola bisalelo mpo na bambeka ya kotumba. Kasi Banganga-Nzambe bazalaki kosukola na nzungu ya monene.
0e040700ec	Asalaki lisusu bitelemiselo zomi ya minda, basala na wolo kolanda ndakisa na yango oyo epesamaki; mpe atiaki yango na eteni oyo eleki monene kati na Tempelo: mitano na ngambo ya loboko ya mobali, mpe mitano na ngambo ya loboko ya mwasi.
0e040800ea	Asalaki bamesa zomi mpe atiaki yango kati na eteni oyo eleki monene: mitano na ngambo ya loboko ya mobali, mpe mitano na ngambo ya loboko ya mwasi. Asalaki lisusu bakopo nkama moko ya wolo mpo na kosopela makila na likolo ya etumbelo.
0e0409006c	Asalaki lopango ya Banganga-Nzambe mpe lopango monene. Asalaki bikuke ya lopango mpe alatisaki yango bronze.
0e040a0059	Atiaki nzungu ya monene na ngambo ya loboko ya mobali ya Tempelo, na ngambo ya sude-este.
0e040b00ad	Urami asalaki basani ya kotia putulu, bapawu mpe bakopo mpo na kosopela makila. Urami asilisaki mosala nyonso oyo mokonzi Salomo atindaki ye kosala mpo na Tempelo ya Nzambe:
0e040c00b5	makonzi mibale, mito mibale ya libungutulu na suka ya makonzi nyonso mibale, bililingi mibale ya basinga oyo basala lokola monyama mpo na kozipa mito nyonso mibale ya makonzi yango,
0e040d0108	bililingi ya bambuma ya grenade nkama minei ekangana na maboke ya bililingi ya basinga oyo basala lokola monyama: milongo mibale ya bililingi ya grenade mpo na elilingi moko na moko ya basinga oyo basala lokola monyama, mpo na kozipa mito nyonso mibale ya makonzi;
0e040e004d	bivandelo zomi mpe basani zomi ya minene, oyo batiaki na likolo ya bivandelo,
0e040f0067	nzungu ya monene ya libungutulu, bikeko ya bangombe zomi na mibale oyo ezalaki komema nzungu ya monene,
0e041000e0	basani mpo na kotia putulu, bapawu, biloko ya songe mpo na misuni elongo na bisalelo na yango nyonso. Urami-Abi asalelaki mokonzi Salomo biloko oyo nyonso mpo na Tempelo ya Yawe; asalaki yango na bronze oyo bapetola na moto.
0e0411006a	Mokonzi asengaki ete banyangwisa yango kati na mabele, na etando ya Yordani, kati na Sukoti mpe Tseredata.
0e04120073	Mpo ete Salomo asalaki biloko oyo nyonso ebele koleka, yango wana bakokaki te koyeba kilo ya bronze oyo basalelaki.
0e041300a0	Salomo asalaki lisusu na wolo biloko nyonso oyo ezalaki kati na Tempelo ya Nzambe: etumbelo; bamesa oyo, na likolo na yango, bazalaki kotia mapa liboso ya Yawe;
0e04140079	bitelemiselo ya minda elongo na minda na yango, oyo basala na wolo ya peto, mpo na kopela liboso ya Esika-Oyo-Eleki-Bule,
0e0415006e	bafololo na yango, minda na yango mpe biloko ya wolo ya kozwela makala na moto, basala na wolo ya peto makasi;
0e041600c4	bambeli, bakopo mpo na kosopela makila, bakeni, bambabola ya wolo ya peto, bikangelo ya wolo ya bikuke ya Esika-Oyo-Eleki-Bule mpe bikuke ya esika oyo bato nyonso bavandaka, na ekotelo ya Tempelo.
0e050100d1	Tango Salomo asilisaki misala nyonso ya kotonga Tempelo ya Yawe, amemaki biloko oyo Davidi, tata na ye, abulisaki: palata, wolo mpe bisalelo nyonso; atiaki yango kati na bibombelo bomengo ya Tempelo ya Nzambe.
0e050200d2	Bongo Salomo abengisaki, na Yelusalemi, bakambi nyonso ya Isalaele, bakambi nyonso ya bituka mpe ya mabota nyonso ya bato ya Isalaele, mpo na komema Sanduku ya Boyokani ya Yawe wuta na Siona, engumba ya Davidi.
0e0503006b	Bato nyonso ya Isalaele basanganaki pene ya mokonzi na tango ya feti ya Bandako ya kapo, na sanza ya sambo.
0e05040046	Tango bakambi nyonso ya Isalaele bakomaki, Balevi batombolaki Sanduku.
0e05050097	Banganga-Nzambe mpe Balevi bamemaki Sanduku yango, Ndako ya kapo ya Bokutani mpe bisalelo nyonso ya bule oyo ezalaki kati na Ndako ya kapo ya Bokutani.
0e050600dc	Mokonzi Salomo mpe lisanga mobimba ya Isalaele oyo esanganaki epai na ye liboso ya Sanduku babonzaki lokola mbeka bameme mpe bangombe oyo balongaki kotanga te mpo na koyeba motango na yango, pamba te ezalaki ebele penza.
0e05070093	Banganga-Nzambe batiaki Sanduku ya Boyokani ya Yawe na esika na yango, kati na Tempelo, kati na Esika-Oyo-Eleki-Bule, na se ya mapapu ya basheribe.
0e05080086	Mapapu ya basheribe ezalaki ya kofungwama na likolo ya esika oyo Sanduku ezalaki, bongo ezipaki Sanduku mpe banzete ya komemela yango.
0e050900dc	Mpo ete banzete yango elekaki milayi, basonge na yango ezalaki komonana wuta na likolo ya Sanduku, na liboso ya Esika-Oyo-Eleki-Bule; kasi ezalaki komonana te wuta na libanda. Sanduku etikala wana kino na mokolo ya lelo.
0e050a00c3	Kati na Sanduku, ezalaki na eloko mosusu te longola kaka bitando mibale ya mabanga oyo Moyize atiaki na Orebi epai wapi Yawe asalaki boyokani elongo na bana ya Isalaele tango babimaki na Ejipito.
0e050b0090	Tango Banganga-Nzambe bazalaki kobima libanda ya Esika ya bule, pamba te bango nyonso bamibulisaki mpe batalaki kokitana ya masanga na bango te,
0e050c015c	Balevi oyo nyonso bazalaki kobeta mindule: Azafi, Emani, Yedutuni elongo na bana na bango ya mibali mpe bandeko na bango; bazalaki kotelema na ngambo ya este ya etumbelo, balata bilamba ya lino ya kitoko, mpe bazalaki kobeta manzanza, mandanda mpe banzenze. Bazalaki elongo na Banganga-Nzambe nkama moko na tuku mibale oyo bazalaki kobeta bakelelo.
0e050d0186	Babeti nyonso ya bakelelo mpe bayembi bazalaki kosangana lokola moto moko mpo na kotombola mongongo moko, mpo na kokumisa mpe kosanzola Yawe. Bazalaki kotombola mingongo na bango mpo na kokumisa mpe koyembela Yawe na bakelelo, na manzanza mpe na bibetelo mosusu ya mindule: Yawe azali malamu, bolingo na Ye ewumelaka seko na seko! Na tango wana kaka, Tempelo ya Yawe etondisamaki na lipata.
0e050e00a1	Mpe mpo na lipata, Banganga-Nzambe bakokaki lisusu te kotelema kati na yango mpo na kosala mosala na bango, pamba te nkembo na Yawe etondisaki Tempelo ya Nzambe.
0e0601004a	Bongo Salomo alobaki: «Yawe alobaki ete akovanda kati na esika ya molili!
0e0602004a	Mpe ngai natongeli Yo ndako ya lokumu, esika oyo okovanda mpo na libela!»
0e0603006e	Mokonzi abalukaki mpe apambolaki lisanga mobimba ya Isalaele. Lisanga mobimba ya Isalaele ezalaki ya kotelema.
0e060400ad	Alobaki: — Tika ete Yawe, Nzambe ya Isalaele, apambolama; Ye oyo, na monoko na Ye moko, alobaki na tata na ngai, Davidi, mpe akokisi, na maboko na Ye, makambo oyo alakaki:
0e060500ff	«Wuta mokolo oyo nabimisaki bato na Ngai, Isalaele, na Ejipito, naponaki engumba moko te kati na mabota nyonso ya Isalaele mpo ete batonga kuna Tempelo epai wapi Kombo na Ngai ekozala, mpe naponaki moto mosusu te lokola mokonzi ya bato na Ngai, Isalaele,
0e06060072	kasi naponaki nde Yelusalemi mpo ete Kombo na Ngai ezala kuna, mpe Davidi mpo ete akamba bato na Ngai, Isalaele!»
0e06070070	Tata na ngai, Davidi, azalaki na makanisi ya kotonga Tempelo mpo na lokumu ya Kombo ya Yawe, Nzambe ya Isalaele.
0e06080081	Kasi Yawe alobaki na Davidi, tata na ngai: «Osali malamu lokola ozwi makanisi ya kotonga Tempelo mpo na lokumu ya Kombo na Ngai.
0e060900af	Kasi ezali yo te moto okotonga Tempelo yango; ezali nde mwana na yo ya mobali, oyo akobima na mokongo na yo moko, moto akotonga Tempelo yango mpo na lokumu ya Kombo na Ngai.»
0e060a00c2	Yawe akokisi elaka na Ye: nakitani tata na ngai, Davidi; navandi na kiti ya bokonzi ya Isalaele, ndenge kaka Yawe alobaki, mpe natongi Tempelo mpo na lokumu ya Kombo ya Yawe, Nzambe ya Isalaele.
0e060b0058	Natie kuna Sanduku ya Boyokani ya Yawe, boyokani oyo asalaki elongo na bana ya Isalaele.
0e060c0077	Bongo Salomo atelemaki liboso ya etumbelo ya Yawe; mpe na miso ya lisanga mobimba ya Isalaele, atombolaki maboko na ye.
0e060d0160	Solo, Salomo atongaki na bronze etemelo ya kolobela: ezalaki na bametele mibale na basantimetele tuku mitano na molayi, bametele mibale na basantimetele tuku mitano na mokuse, mpe metele pene moko na bosanda; mpe atiaki yango na kati-kati ya lopango. Amataki na likolo na yango, afukamaki liboso ya lisanga mobimba ya Isalaele, atombolaki maboko likolo
0e060e00f6	mpe asambelaki: — Yawe, Nzambe ya Isalaele! Ezali na nzambe moko te oyo akokani na Yo, ezala kuna na likolo to awa na se. Obatelaka boyokani mpe bolingo na Yo mpo na basali na Yo, oyo batambolaka kolanda mokano na Yo na mitema na bango mobimba.
0e060f00bb	Okokisi bilaka oyo opesaki na Davidi, tata na ngai mpe mosali na Yo; makambo oyo olobaki, na monoko na Yo, okokisi yango na nguya ya loboko na Yo, ndenge ezali komonana na mokolo ya lelo.
0e06100159	Sik’oyo, oh Yawe, Nzambe ya Isalaele, kokisa mpe elaka mosusu oyo opesaki na Davidi, tata na ngai mpe mosali na Yo, tango olobaki na ye: «Okozangaka te moto oyo akovanda na kiti ya bokonzi ya Isalaele, na miso na Ngai, soki bana na yo bakotambola malamu liboso na Ngai mpe bakotosa mibeko na Ngai, ndenge yo otamboli kolanda mokano na Ngai.»
0e0611005b	Oh Yawe, Nzambe ya Isalaele, tika ete elaka oyo opesaki na Davidi, mosali na Yo, ekokisama!
0e061200ae	Boni, Nzambe akoki solo kovanda na mokili elongo na bato? Soki kutu Likolo mpe Likolo oyo eleki likolo ekoki kokoka Yo te, bongo ekozala boni mpo na Tempelo oyo ngai natongi?
0e0613009b	Yawe, Nzambe na ngai, yoka na bokebi losambo mpe libondeli na ngai, mowumbu na Yo! Yoka koganga mpe libondeli oyo mowumbu na Yo azali kotombola epai na Yo!
0e061400be	Tika ete, moyi mpe butu, miso na Yo ezala ya kofungwama mpo na kotala Tempelo oyo, esika oyo olobaki ete okotia kuna Kombo na Yo! Yoka losambo oyo mowumbu na Yo azali kotombola na esika oyo!
0e061500bc	Okoyoka mabondeli oyo mowumbu na Yo mpe bato na Yo, Isalaele, bakotombola epai na Yo na kotala na ngambo ya esika oyo! Tika ete oyoka biso wuta na Likolo, evandelo na Yo; yoka mpe limbisa!
0e061600a0	Soki moto asali lisumu epai ya mozalani na ye, mpe batindi ye na makasi ete alapa ndayi esangana na bilakeli mabe, liboso ya etumbelo na Yo kati na Tempelo oyo,
0e061700ec	yoka wuta na Likolo; sala mpe kata makambo kati na bawumbu na Yo mpo na kokweyisa moto oyo asali mabe mpe komemisa ye ngambo ya mabe na ye kolanda etamboli na ye, mpe mpo na kolongisa moto ya sembo mpe kosalela ye kolanda bosembo na ye.
0e061800c3	Soki banguna balongi bato na Yo, Isalaele, mpo ete basalaki masumu liboso na Yo, soki babongoli mitema mpo na kozongela Yo, basanzoli Kombo na Yo, basambeli mpe babondeli Yo, kati na Tempelo oyo,
0e0619007f	yoka wuta na Likolo, limbisa masumu ya Isalaele, bato na Yo, mpe zongisa bango na mabele oyo opesaki bango mpe batata na bango!
0e061a00db	Soki likolo ekangami mpe mvula ezali lisusu te mpo ete basalaki masumu liboso na Yo, soki basambeli na kotala na ngambo ya esika oyo, basanzoli Kombo na Yo mpe batiki masumu na bango, pamba te osili koyokisa bango soni,
0e061b00f1	yoka bango wuta na Likolo, limbisa masumu ya bawumbu na Yo mpe ya Isalaele, bato na Yo, —tango osili kolakisa bango nzela malamu oyo basengeli kolanda— mpe tinda mvula na mokili na Yo, mokili oyo opesaki lokola libula epai ya bato na Yo.
0e061c010a	Soki nzala makasi to bokono makasi to moto to bokawuki to kopola ya bambuma to mabanki to mankoko eyei kati na mokili, soki banguna bazingeli bato na Yo kati na mokili na bango, na bikuke ya bingumba na bango, to soki pasi to bokono ya lolenge nyonso ekweyeli bango,
0e061d00be	soki, wana bato na Yo, Isalaele, bayoki mawa makasi kati na mitema na bango mpo na pasi to bokono yango, moko na moko atomboli maboko na ye na ngambo ya Tempelo oyo, asambeli to abondeli Yo,
0e061e00a3	yoka ye wuta na Likolo, evandelo na Yo, limbisa, zongisela moto na moto kolanda etamboli na ye, mpo ete oyebi motema na ye. Solo, Yo kaka nde oyebi mitema ya bato.
0e061f0085	Sala bongo mpo ete batosa Yo mpe batambola na banzela na Yo mikolo nyonso oyo bakovanda na mabele oyo opesaki epai na batata na biso.
0e062000f3	Ndenge moko mpe mpo na mopaya oyo azali te na molongo ya Isalaele, bato na Yo: wana akowuta na mokili ya mosika, mpo na Kombo monene na Yo, mpo na loboko na Yo ya nguya mpe esembolama; soki ayei mpe asambeli na kotala na ngambo ya Tempelo oyo,
0e062100e9	yoka wuta na Likolo, evandelo na Yo, mpe salela ye nyonso oyo akosenga Yo mpo ete bikolo nyonso ya mokili bayeba Kombo na Yo, batosa Yo lokola Isalaele, bato na Yo, mpe bayeba ete Tempelo oyo natongi ebulisami nde mpo na Kombo na Yo.
0e062200c9	Tango bato na Yo bakokende kobundisa banguna na bango na nzela oyo okolakisa bango, soki basambeli Yo na kotala na ngambo ya engumba oyo oponaki mpe na ngambo ya Tempelo oyo natongi mpo na Kombo na Yo,
0e06230046	yoka wuta na Likolo losambo mpe libondeli na bango, mpe longisa bango.
0e062400d6	Tango bakosala masumu liboso na Yo, pamba te moto nyonso asalaka masumu, bongo Yo osilikeli bango mpe okabi bango na maboko ya banguna oyo bamemi bango na bowumbu kati na mokili songolo, ezala ya mosika to ya pene,
0e062500b6	soki, wuta na mokili ya bowumbu, basosoli, babongoli mitema, babondeli Yo kati na mokili ya bowumbu na bango mpe balobi: «Tosalaki masumu, tosalaki bambeba, tosalaki makambo mabe;»
0e06260139	soki, wuta na mokili epai wapi bamemaki bango na bowumbu, basengi Yo bolimbisi, na mitema mpe na milimo na bango mobimba, soki basambeli na kotala na ngambo ya mokili na bango, oyo opesaki epai na batata na bango, na ngambo ya engumba oyo oponaki mpe na ngambo ya Tempelo oyo natongi mpo na lokumu ya Kombo na Yo,
0e0627009e	yoka wuta na Likolo, evandelo na Yo; yoka losambo mpe mabondeli na bango, longisa bosembo na bango mpe limbisa bato na Yo na masumu oyo basalaki liboso na Yo.
0e06280094	Kobanda sik’oyo, oh Nzambe na ngai, tika ete miso na Yo ezala ya kofungwama mpe matoyi na Yo eyoka na bokebi mabondeli oyo ekosalema na esika oyo!
0e0629001a	Sik’oyo, oh Yawe Nzambe,
0e062a002c	Oh Yawe Nzambe, kobwaka te mopakolami na Yo,
0e07010097	Tango Salomo asilisaki kosambela, moto ekitaki wuta na Likolo mpe ezikisaki mbeka ya kotumba mpe bambeka mosusu, mpe nkembo na Yawe etondisaki Tempelo.
0e07020060	Banganga-Nzambe bakokaki te kokota na Tempelo ya Yawe, pamba te nkembo na Yawe etondisaki yango.
0e070300ee	Tango bana nyonso ya Isalaele bamonaki moto kokita mpe nkembo na Yawe na likolo ya Tempelo, bafukamaki bilongi kino na mabele; bongo bagumbamelaki mpe basanzolaki Yawe na maloba oyo: «Azali malamu, bolingo na Ye ewumelaka seko na seko!»
0e07040045	Mokonzi mpe bana nyonso ya Isalaele babonzaki bambeka liboso ya Yawe.
0e070500c3	Mokonzi Salomo abonzaki lokola mbeka bangombe nkoto tuku mibale na mibale mpe bameme nkoto nkama moko na tuku mibale. Ezalaki ndenge wana nde mokonzi mpe bato nyonso babulisaki Tempelo ya Nzambe.
0e070601ba	Banganga-Nzambe batelemaki na bisika na bango ya mosala, ndenge moko na Balevi mpe bibetelo mindule ya Yawe oyo mokonzi Davidi asalaki mpo na kosanzola na yango Yawe na maloba oyo: «Bolingo na Ye ewumelaka seko na seko.» Ezalaki Davidi moto apesaki bango mokumba ya kobeta bibetelo mindule mpo na kokumisa Yawe. Banganga-Nzambe bazalaki ya kotalana na Balevi mpe bazalaki kobeta bakelelo; bongo bana nyonso ya Isalaele bazalaki ya kotelema.
0e07070100	Salomo abulisaki lopango ya kati oyo ezalaki liboso ya Tempelo ya Yawe mpe abonzaki wana bambeka ya kotumba mpe mafuta ya bambeka ya boyokani; pamba te etumbelo ya bronze oyo Salomo atongaki ekokaki te koyamba bambeka ya kotumba, makabo ya gato mpe mafuta.
0e070800d7	Boye, na tango wana, Salomo elongo na Isalaele mobimba basalaki feti oyo ewumelaki mikolo sambo; ezalaki lisanga monene ya bato oyo bayaki wuta na Amati kino na mayi oyo etiolaka na kati-kati ya bangomba ya Ejipito.
0e07090079	Na mokolo ya mwambe, basalaki mayangani monene, pamba te babulisaki etumbelo mikolo sambo mpe basalaki feti mikolo sambo.
0e070a00df	Bongo na mokolo ya tuku mibale na misato ya sanza ya sambo, Salomo azongisaki bato na bandako na bango ya kapo, na esengo mpe na nsayi kati na mitema mpo na bolamu oyo Yawe asalelaki Davidi, Salomo mpe Isalaele, bato na Ye.
0e070b00b6	Sima na Salomo kosilisa kotonga Tempelo ya Yawe, ndako ya mokonzi mpe kokokisa nyonso oyo azalaki na yango na makanisi ya kosala kati na Tempelo ya Yawe mpe kati na ndako na ye moko,
0e070c007f	Yawe abimelaki Salomo, na butu, mpe alobaki: — Nayoki losambo na yo mpe naponi esika oyo lokola Ndako ya bambeka mpo na Ngai.
0e070d0079	Soki nakangi likolo mpo ete mvula ebeta te to natindi mabanki mpo ete ebebisa mokili to natindi bokono mabe kati na bato,
0e070e00f0	soki bato na Ngai, oyo babengami na Kombo na Ngai bamikitisi, basambeli, baluki elongi na Ngai, mpe bapesi mokongo na banzela na bango ya mabe, Ngai, nakoyoka bango wuta na Likolo, nakolimbisa masumu na bango mpe nakobikisa mokili na bango.
0e070f0077	Kobanda sik’oyo, miso na Ngai ekofungwama, mpe matoyi na Ngai ekoyoka na bokebi mabondeli oyo ekosalema na esika oyo.
0e07100094	Naponi mpe nabulisi Tempelo wana mpo ete Kombo na Ngai ezala kuna tango nyonso. Miso mpe motema na Ngai ekozala kuna na Tempelo yango mpo na libela.
