2800000006	Matius
2c080f0070	Ketika mereka tiba di tempat itu, mereka berdoa agar orang-orang percaya yang ada di Samaria menerima Roh Kudus.
2c08100072	Orang-orang percaya ini memang sudah dibaptis dalam nama Yesus Tuhan, tetapi mereka belum dipenuhi oleh Roh Kudus.
2c08110063	Para rasul meletakkan tangan mereka ke atas orang-orang percaya ini, dan mereka menerima Roh Kudus.
2c0812009c	Ketika Simon melihat bahwa Roh Kudus diberikan ketika para rasul meletakkan tangan mereka ke atas orang-orang, Simon menawarkan sejumlah uang kepada mereka.
2c08130091	“Berikan kepadaku kuasa itu juga,” katanya kepada mereka, “agar setiap orang yang aku letakkan tangan ke atas mereka menerima Roh Kudus.”
2c081400a1	“Kiranya uangmu binasa bersama-sama dengan kamu sebab kamu memiliki pikiran bahwa pemberian Allah adalah sesuatu yang bisa dibeli dengan uang!” jawab Petrus.
2c08150060	“Kamu bukanlah bagian dalam pekerjaan ini. Tindakanmu benar-benar salah dalam pandangan Allah.
2c08160090	Berhentilah berbuat jahat dan kembalilah berbuat yang benar! Berdoalah kepada Tuhan dan mintalah pengampunan dari-Nya oleh karena pikiranmu ini.
2c0817005d	Sudah jelas terlihat bahwa kamu penuh dengan iri hati dan kamu terjerat dalam dosa-dosamu.”
2c0818005f	“Tolong doakan saya, agar segala yang kamu katakan tidak terjadi atas diriku!” jawab Simon.
2c081900c2	Sesudah Petrus dan Yohanes memberikan kesaksian dan memberitakan Firman Tuhan, kembalilah mereka ke Yerusalem, menceritakan kabar baik kepada desa-desa di Samaria dalam perjalanan pulang mereka.
2c081a00bd	Pada suatu hari salah satu malaikat Tuhan berbicara kepada Filipus, “Bersiap-siaplah dan pergilah ke arah selatan ke jalan di padang pasir yang menghubungkan antara Yerusalem dan Gaza.”
2c081b00dc	Maka berangkatlah Filipus, dan bertemu dengan seorang dari Etopia, seorang kasim yang memiliki posisi yang tinggi dari Kandake, Ratu Etopia. Orang ini adalah bendahara kerajaan. Dia pergi ke Yerusalem untuk menyembah dan
2c081c00a8	sedang dalam perjalanan pulang kembali ke daerah asalnya, dan sedang duduk dalam sebuah kereta kuda. Dia membaca salah satu bagian dari ktiab Yesaya dengan suara keras.
2c081d0049	Roh Kudus berbicara kepada Filipus, “Mendekatlah ke arah kereta itu.”
2c081e009e	Maka Filipus berlari menghampiri, dan mendengar si laki-laki membaca dari kitab nabi Yesaya. “Apakah Engkau mengerti apa yang Engkau baca?” tanya Filipus.
2c081f00b2	“Bagaimana bisa saya mengerti jika tidak ada seorangpun yang bisa menjelaskannya kepada saya?” jawab laki-laki itu. Dia mengundang Filipus untuk naik dan duduk di selelahnya.
2c082000da	Bagian Kitab Suci yang dia baca adalah ini: “Dia dituntun seperti seekor domba yang hendak disembelih. Seperti anak domba yang diam di hadapan orang yang akan menggunting bulunya, tidak satu katapun yang dia ucapkan.
2c0821009d	Dia dipermalukan dan tidak mengalami keadilan. Tidak seorangpun yang berkata apa-apa mengenai keturunannya, sebab hidupnya sudah sampai titik penghabisan.”
2c0822009b	Sang kasim bertanya kepada Filipus, “Beritahu saya, siapa yang dimaksud oleh sang nabi? Apakah dia berbicara tentang dirinya sendiri, atau orang lian?”
2c08230053	Filipus mulai menjelaskan, mulai dari Kitab Suci ini, memberitahunya tentang Yesus.
2c082400a5	Ketika mereka melanjutkan perjalanan, mereka tiba di sebuah tempat yang ada airnya. Sang kasim berkata, “Dengar, ada air di sini — mengapa aku tidak dibaptis?”
2c08260072	Dia memerintahkan agar kereta itu dihentikan. Filipus dan sang kasim masuk ke dalam air dan Filipus membaptis dia.
2c082700d7	Ketika mereka keluar dari air, Roh yang dari Tuhan membawa Filipus pergi. Sang kasim tidak pernah melihat dia lagi, tetapi sang kasim meneruskan perjalanan dengan penuh sukacita. Dan Filipus sendiri pergi ke Azotus.
2c08280057	Dan dia menyebarkan Kabar Baik di seluruh kota sepanjang perjalanannya menuju Kaisarea.
2c09010085	Sementara itu Saulus membuat ancaman kejam terhadap murid-murid Tuhan, dia ingin membunuh mereka. Saulus menghadap kepada Imam Besar,
2c09020118	dan minta surat otoritas untuk dia bawa kepada rumah-rumah ibadah di daerah Dasmaskus, memberikan ijin kepadanya untuk menangkap setiap orang yang percaya kepada pada Jalan yang dia temukan, baik laki-laki maupun perempuan, dan membawa mereka kembali ke Yerusalem sebagai tawanan.
2c09030064	Ketika Saulus mencapai kota Damsyik, tiba-tiba dia dikelilingi oleh cahaya yang memancar dari surga.
2c0904006d	Jatuhlah Saulus ke tanah, dan mendengar ada suara berkata, “Saulus, Saulus, mengapa kamu menganiaya Aku?”
2c09050064	“Siapakah Engkau, Tuhan?” tanya Saulus. “Akulah Yesus, orang yang kamu aniaya,” jawab Tuhan.
2c0906005e	“Bangunlah, masuklah ke dalam kota, dan kamu akan diberitahu apa yang harus kamu lakukan.”
2c090700b1	Orang-orang yang pergi bersama dengan Saulus berdiri di sana tanpa bisa mengeluarkan suara. Mereka mendengar ada orang yang berbicara, tetapi mereka tidak bisa melihat orangnya.
2c09080086	Berdirilah Saulus, dan ketika dia membuka matanya, ternyata dia menjadi buta. Rekan seperjalanannya menuntunnya masuk ke kota Damsyik.
2c0909005f	Saulus menjadi buta selama tiga hari, dan dia tidak makan atau minum sesuatu apapun selama itu.
2c090a00b8	Di kota itu ada seorang pengikut Yesus yang bernama Ananias, dan Tuhan berbicara kepadanya dalam sebuah penglihatan. “Ananias!” kata Tuhan. “Saya disini, Tuhan,” jawab Ananias.
2c090b00ad	“Bangunlah, dan pergilah ke jalan yang bernama Lurus,” kata Tuhan kepadanya. “Bertanyalah di rumah Yudas seseorang yang bernama Saulus, dari Tarsis. Dia sedang berdoa.
2c090c0098	Saulus sudah mendapat penglihatan bahwa ada seseorang bernama Ananias yang datang dan meletakkan tangannya ke atas dia agar dia bisa kembali melihat.”
2c090d00ad	“Tetapi Tuhan,” jawab Ananias, “Aku sudah banyak mendengar tentang orang ini — tentang semua tindakan jahat yang dia lakukan kepada orang-orang percaya di Yerusalem.
2c090e0080	Para imam kepala sudah memberikan kepada dia otoritas untuk menangkap siapa saja di sini yang menyembah dan mengikuti Engkau.”
2c090f00ab	Namun Tuhan berkata kepadanya, “Pergilah, sebab dialah orang yang sudah Aku pilih untuk mengabarkan nama-Ku ke orang-orang asing dan raja-raja, juga kepada orang Israel.
2c0910005c	Aku sendiri yang akan menunjukkan kepadanya penderitaan yang akan dia alami demi nama-Ku.”
2c0911012c	Maka pergilah Ananias dan masuk ke rumah itu. Dia meletakkan tangannya ke atas Saulus. “Saulus, saudaraku,” katanya, “Tuhan Yesus, yang menampakkan diri kepadamu ketika kamu dalam perjalanan menuju ke tempat ini, sudah mengirim aku agar kamu bisa kembali melihat dan dipenuhi oleh Roh Kudus.”
2c09120091	Dengan segera, sesuatu seperti sisik ikan jatuh dari matanya, dan penglihatannya pulih kembali. Saulus bangun dan memberi dirinya untuk dibaptis.
2c0913007a	Saulus juga makan dan merasa lebih kuat. Dia menghabiskan waktu bersama murid-murid Yesus di Damsyik selama beberapa hari.
2c0914005f	Dan Saulus mulai berbicara di rumah-rumah ibadat dan menyatakan, “Yesus adalah Anak Allah!”
2c09150134	Semua yang mendengar dia terkejut, dan bertanya, “Bukankah laki-laki ini yang menyebabkan begitu banyak kesulitan di Yerusalem bagi mereka yang percaya kepada Yesus? Bukankah dia datang ke kota ini untuk menangkap orang-orang percaya dan membawanya sebagai tawanan dengan rantai kepada para imam kepala?”
2c091600b4	Saulus menjadi lebih percaya diri, membuktikan bahwa Yesus adalah Mesias begitu meyakinkan sehingga orang-orang Yahudi yang ada di kota Damsyik tidak ada yang bisa mengalahkan dia.
2c0917004a	Beberapa waktu kemudian orang-orang Yahudi bersekongkol untuk membunuhnya,
2c0918007f	tetapi Saulus mendapat tahu niat mereka. Siang dan malam mereka menunggu di gerbang kota mencari kesempatan untuk membunuh dia.
2c0919009b	Jadi suatu hari, ketika hari sudah malam, para pengikut Saulus membawanya dan menurunkan dia melalui lubang yang ada di tembok kota dalam sebuah keranjang.
2c091a00b4	Ketika Saulus tiba di Yerusalem, dia mencoba bertemu dengan para murid, tetapi mereka semua takut kepadanya karena mereka tidak yakin bahwa Saulus sudah menjadi seorang murid juga.
2c091b0126	Namun, Barnabas membawa Saulus untuk bertemu dengan para rasul, dan menjelaskan kepada mereka bagaimana Saulus sudah melihat Tuhan di jalan dan bagaimana Tuhan sudah berbicara kepada Saulus. Barnabas juga menjelaskan bagaimana di kota Damsyik Saulus sudah berbicara dengan berani tentang Yesus.
2c091c0053	Saulus tinggal bersama dengan para rasul dan mengikuti mereka ke seluruh Yerusalem,
2c091d00aa	serta berbicara dengan berani tentang Yesus. Dia berbicara dan berdebat dengan orang-orang Yahudi yang berbicara dengan bahasa Yunani, tetapi mereka mencoba membunuh dia.
2c091e0076	Ketika saudara-saudara seiman mengetahui hal ini, mereka membawa Saulus ke kota Kaisarea, lalu mengirim dia ke Tarsus.
2c091f0100	Selama waktu ini, seluruh gereja di seluruh Yudea, Galilea dan Samaria ada dalam keadaan damai. Gereja menjadi kuat dan anggotanya bertambah banyak dengan cepat. Orang-orang percaya ini hidup dalam hormat kepada Tuhan, dan mendapat semangat dari Roh Kudus.
2c09200062	Petrus sedang melakukan perjalanan dan pergi mengunjungi orang-orang percaya yang tinggal di Lida.
2c09210082	Di sana Petrus bertemu dengan seorang yang bernama Eneas yang lumpuh dan tidak bisa bangun dari tempat tidur selama delapan tahun.
2c0922007e	Petrus berkata kepadanya, “Eneas, Yesus Kristus menyembuhkan kamu! Bangun dan angkat tikarmu!” Dengan segera Eneas bangun.
2c0923005b	Setiap orang yang tinggal di Lida dan Asaron melihat dia, dan menjadi percaya kepada Tuhan.
2c0924009c	Di Yope tinggal seorang murid yang bernama Tabita atau Dorkas dalam bahasa Yunani. Dia selalu melakukan perbuatan yang baik dan menolong orang-orang miskin.
2c0925008f	Namun pada waktu Petrus sedang di Lida, Dorkas jatuh sakit dan meninggal. Sesudah memandikan dia, mereka membaringkan mayatnya di ruangan atas.
2c092600cf	Kota Lida dekat dengan kota Yopa, maka para murid yang ada di kota Yopa, mendengar bahwa Petrus sedang ada di kota Lida, mengirimkan dua orang kepadanya dengan pesan, “Segeralah datang mengunjungi kami.”
2c092700fc	Maka Petrus bersiap-siap dan berangkat bersama mereka. Ketika dia tiba, mereka membawanya ke ruangan atas. Semua janda-janda sedang menangis di sana, dan mereka menunjukkan kepada Petrus jubah dan pakaian yang dibuat oleh Dorkas ketika dia masih hidup.
2c092800e1	Petrus minta agar mereka semua pergi, lalu dia berlutut dan berdoa. Sesudah itu berkatalah dia kepada mayat itu, “Tabita, bangunlah.” Dan perempuan itu membuka matanya, dan ketika dia melihat Petrus, dia bangun dan duduk.
2c0929009d	Petrus memegang tangan Dorkas dan membantunya berdiri. Dia memanggil para orang percaya dan janda-janda, dan mempersembahkan kepada mereka Dorkas yang hidup.
2c092a005a	Berita itu menyebar ke seluruh daerah Yopa, dan banyak orang menjadi percaya kepada Tuhan.
2c092b0086	Petrus menghabiskan waktu yang lama di kota Yopa, tinggal di rumah seorang bernama Simon, yang adalah seorang penyamak kulit binatang.
2c0a010099	Di kota Kaisarea tinggallah seorang laki-laki bernama Kornelius yang merupakan perwira Romawi yang memimpin seratus pasukan yang bernama batalyon Italia.
2c0a0200c3	Dia adalah seorang yang taat kepada agamanya, bersama dengan seluruh anggota keluarganya, menyembah Allah. Dia sangat murah hati kepada orang-orang miskin, dan dengan teratur berdoa kepada Allah.
2c0a0300ab	Sekitar pukul 3 sore, suatu hari Kornelius mendapat sebuah penglihatan di mana dia sangat jelas melihat malaikat Allah datang kepadanya dan memanggil dia, “Kornelius!”
2c0a0400e6	Takut, Kornelius menatap malaikat itu dan bertanya, “Apakah yang Engkau inginkan, Tuhan?” “Allah menaruh perhatian kepada doa-doamu, dan sedekahmu kepada orang miskin sudah dilihat-Nya,” kata malaikat itu kepada Kornelius.
2c0a050065	“Sekarang, kirimlah beberapa orang ke kota Yopa, dan panggillah Simon yang juga diberi nama Petrus,
2c0a060060	yang sedang menginap di rumah seorang penyamak kulit yang bernama Simon di dekat tepi pantai.”
2c0a0700b6	Ketika malaikat yang memberikan pesan itu sudah pergi, Kornelius memanggil dua orang pekerja rumahnya dan seorang prajurit pengawal pribadinya yang juga seorang yang menyembah Allah.
2c0a080062	Sesudah dia menjelaskan kepada mereka segala yang sudah terjadi, dia mengirim mereka ke kota Yope.
2c0a090096	Keesokan harinya, sementara mereka dalam perjalanan menuju kota, Petrus naik ke bagian atas rumah untuk berdoa. Hari ketika itu menjelang tengah hari,
2c0a0a0083	dan Petrus mulai merasa lapar dan ingin makan. Tetapi sementara makanan sedang disiapkan, Petrus mendapatkan suatu penglihatan, dan
2c0a0b009a	dia melihat surga terbuka. Dia melihat sesuatu yang seperti selembar kain yang sangat lebar dipegang oleh keempat sudutnya sedang diturunkan ke atas bumi.
2c0a0c005b	Di dalamnya terdapat berbagai macam jenis hewan dan binatang yang reptil dan burung-burung.
2c0a0d004f	Dan dia mendengar suara berkata, “Bangunlah Petrus, bunuhlah dan makanlah!”
2c0a0e0071	Tetapi Petrus menjawab, “Tidak akan, Tuhan! Aku tidak pernah makan sesuatu yang dinyatakan haram atau najis.”
2c0a0f0075	Dia mendengar suara itu kembali berkata, “Jangan mengatakan sesuatu itu haram jika Allah sudah membuatnya halal!”
2c0a10005c	Hal ini terjadi sampai tiga kali, dan lalu kain itu dengan cepat terangkat kembali ke surga.
2c0a1100b9	Petrus masih bertanya-tanya arti dari penglihatan yang baru saja dia terima ketika orang-orang yang dikirim oleh Kornelius sudah menemukan rumah Simon dan sedang berdiri di pintu pagar.
2c0a120070	Mereka memanggil, dan bertanya, “Apakah seorang yang bernama Simon yang disebut juga Petrus tinggal disini?”
2c0a13007e	Sementara Petrus masih memikirkan penglihatan itu, Roh Kudus berkata kepadanya, “Dengar, ada tiga orang sedang mencari kamu.
2c0a140066	Berdiri dan turunlah, dan pergilah bersama mereka. Jangan kuatir sebab Akulah yang mengutus mereka.”
2c0a150084	Maka Petrus turun ke bawah dan menemui para tamu itu. “Akulah orang yang kalian cari,” katanya, “Mengapa kalian ada disini?”
2c0a16012b	“Kami adalah para pekerja Kornelius, seorang yang takut akan Allah, baik, beragama dan dihormati oleh orang Yahudi secara luas,” jawab mereka. “Seorang malaikat memerintahkan agar dia mengirim pesan untuk menjemput Bapak untuk datang ke rumahnya agar dia bisa mendengarkan pengajaran Bapak.”
2c0a1700c1	Lalu Petrus mengundang mereka masuk dan mereka bermalam di rumah itu. Keesokan harinya dia bangun dan ikut pergi dengan mereka. Beberapa orang percaya dari Yope juga ikut bersama dengan mereka.
2c0a1800b5	Keesokan harinya mereka tiba di kota Kaisarea dimana Kornelius sedang menunggu mereka bersama-sama dengan saudara-saudara dan teman-teman dekatnya yang dipanggilnya untuk berkumpul.
2c0a190056	Ketika Petrus masuk ke dalam rumah itu, Kornelius menemui dia dan sujud menyembah dia.
2c0a1a0058	Tetapi Petrus menariknya naik, dan berkata, “Berdirilah! Aku hanya seorang manusia!”
2c0a1b0072	Petrus berbicara kepada Kornelius, dan masuk ke dalam rumah di mana dia mendapati banyak orang sedang menunggunya.
2c0a1c0107	Katanya kepada mereka, “Kalian tentu tahu bahwa tidak diijinkan bagi seorang Yahudi untuk bergaul ataupun mengunjungi orang yang bukan Yahudi. Tetapi Allah sudah menunjukkan kepadaku bahwa bukanlah hakku untuk mengatakan seseorang itu najis ataupun tidak kudus.
2c0a1d007c	Itu sebabnya aku datang tanpa merasa keberatan ketika aku diundang. Sekarang, aku ingin tahu alasan aku diundang ke sini.”
2c0a1e00d8	“Empat hari lalu, sekitar waktu ini — jam tiga di sore hari — aku sedang berdoa di dalam rumah,” kata Kornelius. “Tiba-tiba aku melihat seseorang berdiri di depanku, mengenakan pakaian yang bersinar terang.
2c0a1f007c	Katanya kepadaku, ‘Kornelius, doamu sudah didengar, dan Allah sudah mengetahui kemurahan hatimu kepada orang-orang miskin.
2c0a20009b	Kirimlah seseorang ke kota Yope untuk mencari Simon Petrus. Dia sedang menginap di rumah seorang penyamak kulit yang bernama Simon di dekat tepi pantai.’
2c0a2100d7	Jadi aku segera mengirimkan utusan kepadamu, dan sungguh Bapak baik sekali mau datang. Itu sebabnya kami semua berkumpul di sini di hadapan Allah, siap mendengarkan segala yang sudah Tuhan sampaikan kepada Bapak.”
2c0a22004c	Petrus menjawab, “Aku sangat yakin bahwa Allah menganggap kita semua sama.
2c0a230065	Dalam setiap bangsa, Allah menerima mereka yang menghormati Dia, dan lakukan apa yang baik dan benar.
2c0a240095	Kalian tahu pesan yang Allah sampaikan kepada bangsa Israel, membagikan kabar baik tentang damai melalui Yesus Kristus, yang adalah Tuhan atas semua.
2c0a250085	Kalian sudah tahu bahwa kabar baik ini menyebar ke seluruh Yudea, dimulai dari Galilea, dengan panggilan untuk dibaptis dari Yohanes.
2c0a260125	Hal itu adalah berita tentang Yesus dari Nasaret — bagaimana Allah sudah mengurapi Dia dengan Roh Kudus dan dengan kuasa, dan bagaimana Dia melakukan perjalanan mengelilingi daerah-daerah sambil berbuat baik, menyembuhkan mereka yang ada di bawah kuasa setan, sebab Allah bersama dengan Dia.
