010000000d	1 Mojžišova
181f0800b6	Aj, já přivedu je z země půlnoční, a shromáždím je ze všech stran země, s nimi spolu slepého i kulhavého, těhotnou i rodící; shromáždění veliké sem se navrátí.
181f0900cf	Kteréžto s pláčem jdoucí a s pokornými modlitbami zase přivedu, a povedu je podlé tekutých vod cestou přímou, na níž by se nepoklesli; neboť jsem Izraelův otec, a Efraim jest prvorozený můj.
181f0a00bf	Slyšte slovo Hospodinovo, ó národové, a zvěstujte na ostrovích dalekých, a rcete: Ten, kterýž rozptýlil Izraele, shromáždí jej, a ostříhati ho bude jako pastýř stáda svého.
181f0b0069	Neboť vykoupil Hospodin Jákoba, protož vysvobodí jej z ruky toho, kterýž silnější jest nad něj.
181f0c00eb	I přijdou, a prozpěvovati budou na výsosti Siona, a pohrnou se k dobrotě Hospodinově s obilím, a s vínem, a s olejem, a s plodem skotů a bravů, duše pak jejich bude podobná zahradě svlažené, a nebudouť se rmoutiti více.
181f0d00af	Tehdáž veseliti se bude panna s plésáním, a mládenci i starci spolu; obrátím zajisté kvílení jejich v radost, a potěším jich, a obveselím je po zámutku jejich.
181f0e0054	Rozvlažím i duši kněží tukem, a lid můj dobroty mé nasytí se, dí Hospodin.
181f0f00b7	Takto praví Hospodin: Hlas v Ráma slyšán jest, naříkání a pláč přehořký. Ráchel plačeci synů svých, nedala se potěšiti po synech svých, proto že žádného není.
181f1000a8	Takto praví Hospodin: Zdrž hlas svůj od pláče, a oči své od slz, nebo budeš míti mzdu za práci svou, praví Hospodin, že se navrátí z země nepřátelské.
181f110057	Jest, pravím, čáka, žeť se potom, dí Hospodin, navrátí synové do svého kraje.
181f1200bd	V pravdě slyším Efraima, an sobě stýště, pravě: Trestals mne, abych strestán byl jako telátko neupřáhané; obrať mne, abych obrácen byl, ty jsi zajisté, Hospodine, Bůh můj.
181f1300bf	Nebo po obrácení svém pokání činiti budu, a když mi k známosti sebe poslouženo bude, udeřím se v bedra. Stydímť se, anobrž i pýřím, že snáším útržku dětinství svého.
181f1400fb	Zdali Efraim jest mým synem milým, aneb dítě velmi milostné? A však jakž jsem mluvil proti němu, ustavičně se vždy na něj rozpomínám. Pročež pohybují se vnitřnosti mé příčinou jeho; jistě žeť se slituji nad ním, dí Hospodin.
181f1500b7	Nastavěj sobě pamětných znamení, naklaď sobě hromad kamení, pamatuj na tu silnici a cestu, kterouž jsi šla; navrať se, panno Izraelská, navrať se k městům svým těmto.
181f16007c	Dokudž se toulati budeš, ó dcero zpurná? Neboť učiní Hospodin novou věc na zemi: Žena bude vůkol obcházeti muže.
181f1700e3	Takto praví Hospodin zástupů, Bůh Izraelský: Ještěť říkati budou slovo toto v zemi Judově a v městech jeho, když zase přivedu zajaté jejich: Požehnejž tobě Hospodin, ó příbytku spravedlnosti, horo svatosti.
181f180071	Nebo osazovati se budou v zemi Judské, ve všech městech jeho spolu oráči, a kteříž zacházejí s stádem.
181f190048	Rozvlažím zajisté duši ustalou, a všelikou duši truchlou nasytím.
181f1a0044	V tom jsem procítil, a ohlédl se, a ten můj sen byl mi vděčný.
181f1b0070	Aj, dnové jdou, dí Hospodin, v nichžto oseji dům Izraelský a dům Judský semenem lidským a semenem hovad.
181f1c00a0	I stane se, že jakož jsem se snažoval, abych je plénil, a bořil, a kazil a hubil, a trápil, tak se snažím, abych je vzdělal a rozsazoval, dí Hospodin.
181f1d0069	Těch časů nebudou říkati více: Otcové jedli hrozen trpký, pročež zubové synů laskominy mají,
181f1e0091	Nýbrž raději: Jeden každý pro nepravost svou umře. Každého člověka, kterýž by jedl hrozen trpký, laskominy míti budou zubové jeho.
181f1f0066	Aj, dnové jdou, dí Hospodin, v nichž učiním s domem Izraelským a s domem Judským smlouvu novou.
181f2000eb	Ne takovou smlouvu, jakouž jsem učinil s otci jejich v ten den, v kterýž jsem je ujal za ruku jejich, abych je vyvedl z země Egyptské. Kteroužto smlouvu mou oni zrušili, a já abych zůstati měl manželem jejich? dí Hospodin.
181f2100d4	Ale tatoť jest smlouva, kterouž učiním s domem Izraelským po těchto dnech, dí Hospodin: Dám zákon svůj do vnitřnosti jejich, a na srdci jejich napíši jej; i budu Bohem jejich, a oni budou mým lidem.
181f220136	A nebudou učiti více jeden každý bližního svého, a jeden každý bratra svého, říkajíce: Poznejte Hospodina. Všickni zajisté napořád znáti mne budou, od nejmenšího z nich až do největšího z nich, dí Hospodin; milostiv zajisté budu nepravosti jejich, a na hřích jejich nezpomenu více.
181f2300cc	Takto praví Hospodin, kterýž dává slunce za světlo ve dne, zřízení měsíce a hvězd za světlo v noci, kterýž rozděluje moře, a zvučí vlnobití jeho, jehož jméno jest Hospodin zástupů:
181f2400a1	Jestliže se pohnou ta nařízení před oblíčejem mým, dí Hospodin, takéť símě Izraelovo přestane býti národem před oblíčejem mým po všecky dny.
181f2500c0	Takto praví Hospodin: Budou-li moci býti změřena nebesa zhůru, a vyhledáni základové země dolů, takéť já zavrhu docela símě Izraelovo pro všecko to, což činili, dí Hospodin.
181f260076	Aj, dnové jdou, dí Hospodin, v nichž vystaveno bude město toto Hospodinu, od věže Chananeel až k bráně úhlu.
181f27005a	A půjde ještě šňůra měřící naproti ní, ku pahrbku Gareb, a přitočí se k Gou.
181f2800c4	A všecko údolí těl mrtvých a popela, i všecko to pole až ku potoku Cedron, až k úhlu brány východní koňské posvěcené bude Hospodinu; nebudeť pléněno, ani kaženo více na věky.
1820010097	Slovo, kteréž se stalo k Jeremiášovi od Hospodina léta desátého Sedechiáše krále Judského, kterýžto rok jest osmnáctý Nabuchodonozorův.
182002009d	(Bylo pak tehdáž vojsko krále Babylonského oblehlo Jeruzalém, a Jeremiáš prorok byl zavřín v síni stráže, kteráž byla v domě krále Judského.
18200300b2	Nebo dal jej byl vsaditi Sedechiáš král Judský, řka: Proč ty prorokuješ, právě: Takto praví Hospodin: Aj, já dám město toto v ruku krále Babylonského, aby je vzal.
18200400b9	Sedechiáš také král Judský neznikne ruky Kaldejských, ale jistotně vydán bude v ruku krále Babylonského, a budou mluviti ústa jeho s ústy jeho, a oči jeho uzří oči jeho.
182005009a	Nýbrž do Babylona zavede Sedechiáše, aby tam byl, až ho navštívím, dí Hospodin. Poněvadž bojujete s Kaldejskými, nepovede se vám šťastně.)
1820060045	Tehdy řekl Jeremiáš: Stalo se slovo Hospodinovo ke mně, řkoucí:
18200700aa	Aj, Chanameel syn Salluma, strýce tvého, jde k tobě, aťby řekl: Kup sobě dvůr můj, kterýž jest v Anatot; nebo tobě právem příbuznosti náleží koupiti jej.
1820080144	Když pak přišel ke mně Chanameel syn strýce mého, podlé slova Hospodinova, do síně stráže, a řekl ke mně: Kup medle dvůr můj, kterýž jest v Anatot, jenž jest v zemi Beniaminově; nebo tvůj jest právem dědičným, a právem příbuznosti, kupiž jej sobě: tedy porozuměv, že jest to slovo Hospodinovo,
182009008b	I koupil jsem od Chanameele syna strýce svého ten dvůr, kterýž jest v Anatot, a odvážil jsem jemu peněz sedmnácte lotů stříbra.
18200a005e	A zapsav to do cedule, zapečetil jsem, a osvědčil jsem svědky, odváživ peníze na váze.
18200b0061	Potom vzal jsem, podlé přikázaní a ustanovení, cedule té koupě zapečetěnou i otevřenou,
18200c0106	A dal jsem ceduli té koupě Báruchovi synu Neriášovu, synu Maaseiášovu, před očima Chanameele strýce svého, a před očima svědků, kteříž se podepsali v ceduli té koupě, před očima všech Judských, kteříž se byli posadili v síni stráže.
18200d0037	A přikázal jsem Báruchovi před očima jejich, řka:
18200e00cb	Takto praví Hospodin zástupů, Bůh Izraelský: Vezmi cedule tyto, tuto ceduli té koupě, jakož zapečetěnou, tak ceduli otevřenou tuto, a vlož je do nádoby hliněné, aby trvaly za mnohá léta.
18200f0079	Nebo takto praví Hospodin zástupů, Bůh Izraelský: Ještěť kupováni budou domové, a rolí, i vinice v zemi této.
1820100063	Potom modlil jsem se Hospodinu, když jsem dal ceduli té koupě Báruchovi synu Neriášovu, řka:
182011009d	Ach, Panovníče Hospodine, aj, ty jsi učinil nebe i zemi mocí svou velikou a ramenem svým vztaženým, nemůžeť skryta býti před tebou žádná věc.
18201200a3	Činíš milosrdenství nad tisíci, a odplacíš za nepravost otců do lůna synů jejich po nich, Bůh veliký, silný, mocný, jehož jméno Hospodin zástupů,
18201300c4	Veliký v radě a znamenitý v správě, poněvadž oči tvé otevřené jsou na všecky cesty synů lidských, abys odplatil jednomu každému podlé cest jeho, a podlé ovoce předsevzetí jeho.
18201400a7	Kterýž jsi činil divy a zázraky v zemi Egyptské až do tohoto dne, jakož v Izraelovi tak mezi jinými lidmi, a dobyls sobě jména, jakéž jest po dnešní den.
182015008e	Nebo vyvedl jsi lid svůj Izraelský z země Egyptské v divích a v zázracích, a rukou silnou, a ramenem vztaženým, a v strachu velikém,
1820160066	A dals jim zemi tuto, kterouž jsi přisáhl dáti otcům jejich, zemi oplývající mlékem a strdí.
18201700dd	Ale že všedše do ní, a dědičně ujavše ji, neposlouchali hlasu tvého, a v zákoně tvém nechodili, všeho, což jsi koli přikázal jim činiti, nečinili, protož způsobils to, aby je potkalo všecko toto zlé.
18201800cc	Aj, střelci přitáhli na město, aby je vzali, a město skrze meč a hlad a mor dáno jest v ruku Kaldejských, bojujících proti němu; a tak, což jsi koli promluvil, děje se, jakž to sám vidíš.
182019009c	Ty pak pravíš mi, Panovníče Hospodine: Zjednej sobě dvůr tento za peníze, a osvědč to svědky, ano již město toto dáno jest v ruku Kaldejských.
18201a0037	I stalo se slovo Hospodinovo k Jeremiášovi, řkoucí:
18201b0062	Aj, já jsem Hospodin Bůh všelikého těla, zdaliž přede mnou může býti skryta která věc?
18201c008a	Protož takto praví Hospodin: Aj, já dávám toto město v ruku Kaldejských a v ruku Nabuchodonozora krále Babylonského, aby je vzal.
18201d00dc	A vejdouce Kaldejští, kteříž bojují proti městu tomuto, zapálí ohněm toto město, a vypálí je, i domy ty, na jejichž střechách kadívali Bálovi, a obětovali oběti mokré bohům cizím, aby mne hněvali.
18201e00d6	Nebo synové Izraelští a synové Judští od dětinství svého jen toliko činí to, což jest zlého před očima mýma; synové, pravím, Izraelští jen toliko hněvají mne dílem rukou svých, dí Hospodin.
18201f009c	Toto zajisté město od toho dne, jakž je vystavěli, až do tohoto dne k hněvu mému a prchlivosti mé popouzí mne, tak že je sklidím od tváři své,
18202000f3	Pro všelikou nešlechetnost synů Izraelských a synů Judských, kterouž páchali, aby mne k hněvu popouzeli, oni, králové jejich, knížata jejich, kněží jejich i proroci jejich, jakož muži Judští, tak obyvatelé Jeruzalémští,
18202100a1	Obracejíce se ke mně hřbetem, a ne tváří. A když je učím, ráno přivstávaje, a to ustavičně, však nikoli neposlouchají, aby přijímali naučení.
182022006c	Nadto nastavěli ohavností svých v domě tom, kterýž nazván jest od jména mého, aby jej zanečistili.
18202300f8	Nastavěli, pravím, výsostí Bálovi, kteréž jsou v údolí Benhinnom, aby vodili syny své a dcery své Molochovi, ješto jsem jim toho nepřikázal, aniž vstoupilo na srdce mé, aby páchati měli tu ohavnost, a Judu k hřešení přivodili.
18202400aa	A nyní z příčiny té takto dí Hospodin. Bůh Izraelský, o městě tomto, o kterémž vy říkáte: Dánoť jest v ruku krále Babylonského skrze meč a hlad a mor:
18202500d1	Aj, já shromáždím je ze všech zemí, do nichž jsem je rozehnal v hněvě svém, a v rozpálení svém, i v prchlivosti veliké, a přivedu je zase na toto místo, a způsobím to, aby bydlili bezpečně.
182026002c	I budou lidem mým, a já budu jejich Bohem.
182027007e	Dám zajisté jim srdce jedno a cestu jednu, aby se mne báli po všecky dny, tak aby jim dobře bylo i synům jejich po nich.
18202800a4	A učiním s nimi smlouvu věčnou, že se neodvrátím od nich, abych jim neměl dobře činiti; nadto bázeň svou dám v srdce jejich, aby neodstupovali ode mne.
182029007e	I veseliti se budu z nich, dobře jim čině, když je štípím v zemi této pevně, celým srdcem svým a vší duší svou.
18202a008f	Nebo takto praví Hospodin: Jakož jsem uvedl všecko toto zlé veliké na lid tento, tak uvedu na ně všecko to dobré, o němž jim mluvím.
18202b00a4	Tehdáž kupováno bude pole v zemi této, o níž vy říkáte: Pustá jest, tak že není v ní žádného člověka ani hovada, dánať jest v ruku Kaldejských.
18202c0133	Pole za peníze kupovati budou, a zapisovati do cedulí, a zpečetíce, svědky osvědčovati v zemi Beniaminově a vůkol Jeruzaléma v městech Judských, jakož v městech, kteráž jsou při horách, tak v městech na rovinách, a v městech poledních, když zase přivedu zajaté jejich, dí Hospodin.
1821010072	Potom stalo se slovo Hospodinovo k Jeremiášovi po druhé, když ještě zavřín byl v síni stráže, řkoucí:
1821020070	Takto praví Hospodin, kterýž učiní to, Hospodin, kterýž sformuje to, potvrdí toho, Hospodin jméno jeho:
1821030058	Volej ke mně, a ohlásímť se, a oznámímť věci veliké a tajné, o nichž nevíš.
18210400a1	Nebo takto praví Hospodin, Bůh Izraelský, o domích města tohoto, a o domích králů Judských, kteříž zkaženi býti mají berany válečnými a mečem:
18210500de	Potáhnouť k boji proti Kaldejským, ale aby naplnili tyto domy mrtvými těly lidskými, kteréž zbiji v hněvě svém a v prchlivosti své, pro jejichž všelikou nešlechetnost skryl jsem tvář svou od města tohoto.
1821060066	Aj, já zopravuji je a vzdělám, a uzdravím obyvatele, a zjevím jim hojnost pokoje, a to stálého.
1821070053	Nebo přivedu zase zajaté Judské a zajaté Izraelské, a vzdělám je jako prvé,
18210800b8	A očistím je od všeliké nepravosti jejich, kterouž hřešili proti mně, a odpustím všecky nepravosti jejich, kterýmiž hřešili proti mně, a jimiž zpronevěřovali se mně.
182109010e	A toť mi bude k jménu, k radosti, k chvále, a k zvelebení mezi všemi národy země, kteříž uslyší o všem tom dobrém, kteréž já jim učiním, a děsíce se, třásti se budou nade vším tím dobrým a nade vším pokojem tím, kterýž já jim způsobím.
18210a011b	Takto praví Hospodin: Na tomto místě, o kterémž vy říkáte: Popléněno jest, tak že není ani člověka ani žádného hovada v městech Judských a na ulicích Jeruzalémských zpustlých, tak že není žádného člověka, ani žádného obyvatele, ani žádného hovada,
18210b0143	Ještěť bude slýchán hlas radosti a hlas veselé, hlas ženicha a hlas nevěsty, hlas řkoucích: Oslavujte Hospodina zástupů, nebo dobrý jest Hospodin, nebo na věky milosrdenství jeho, a obětujících díkčinění v domě Hospodinově, když zase přivedu zajaté země této jako na počátku, praví Hospodin.
